artist,song,lyrics,neutral,fear,disgust,anger,sadness,joy,surprise,key,mode,tempo,energy,valence
Héroes del Silencio,Entre Dos Tierras,"Te puedes vender
cualquier oferta es buena
si quieres poder

Y que fácil es
abrir tanto la boca para opinar
y si te piensas echar atrás
tienes muchas huellas que borrar.

Déjame, que yo no tengo la culpa
de verte caer, si yo no tengo
la culpa de verte caer.

Pierdes la fe, cualquier esperanza
es vana y no se que creer

Pero dígame que nadie te ha llamado
ya estas otra vez.

Déjame, que yo no tengo la culpa
de verte caer, si yo no tengo
la culpa de verte caer.

Entre dos tierras estás
y no dejas aire que respirar,
entre dos tierras estas
y no dejas aire que respirar.

Déjalo ya, no seas membrillo
y permite pasar, si no piensas echar
atrás, tienes mucho barro que cargar.

Déjame, que yo no tengo la culpa
de verte caer, si yo no tengo
la culpa de verte caer.

Entre dos tierras estás
y no dejas aire que respirar,
entre dos tierras estas
y no dejas aire que respirar.",0.3599737286567688,0.30926162004470825,0.18806031346321106,0.06460956484079361,0.05556326359510422,0.014423421584069729,0.008108106441795826,11,0,166.1,0.75,0.51
Héroes del Silencio,Maldito Duende,"He oído que la noche
es toda magia
y que un duende te invita a soñar

Y sé que últimamente
apenas he parado,
y tengo la impresión de divagar.

Amanece tan pronto
y yo estoy tan solo
y no me arrepiento de lo de ayer.

Sí, las estrellas te iluminan
y te sirven de guía
te sientes tan fuerte
que piensas
que nadie te puede tocar

Las distancias se hacen cortas
pasan rápidas las horas
y este cuarto no para de menguar

Y tantas cosas por decir
tanta charla por aquí
si fuera posible escapar de este lugar

Amanece tan pronto
y yo estoy tan solo
y no me arrepiento de lo de ayer.

Sí, las estrellas te iluminan
y te sirven de guía
te sientes tan fuerte
que piensas
que nadie te puede tocar.

Amanece tan pronto
y yo estoy tan solo
y no me arrepiento de lo de ayer.
Sí, las estrellas te iluminan
y te sirven de guía
te sientes tan fuerte
que piensas
que nadie te puede tocar.

Amanece tan pronto
y yo estoy tan solo
y no me arrepiento de lo de ayer.
Sí, las estrellas te iluminan
y te sirven de guía
te sientes tan fuerte
que piensas
que nadie te puede tocar.",0.5258036851882935,0.1769743263721466,0.10114236176013947,0.07730473577976227,0.06578778475522995,0.034789539873600006,0.018197590485215187,4,0,125.8,0.85,0.35
Héroes del Silencio,Avalancha,"La locura nunca tuvo maestro
para los que vamos a bogar sin
rumbo perpetuo

En cualquier otra dirección
con tal de no domar
los caballos de la exaltación

La rutina hace sombra a las pupilas,
que se cierran
a los disfrutes que nos quedan

Avalancha...

Necesitamos el valioso tiempo
que abandonas sin saber
que cojones hacer con el

Nosotros somos la comida
y alguien esta efectivamente hambriento

No hay retorno a la conciencia
tras el desvarió del amor tempestuoso

Avalancha...

Aún nos quedan cosas por hacer,
si no das un paso te estancas
aun nos quedan cosas por decir
y no hablas...

La locura nunca tuvo maestro
para los que vamos a bogar sin
rumbo perpetuo

La muerte será un adorno
que pondré al regalo de mi vida

La luna ejerce extraños influjos
que se contradicen
y no hay quien descifre

Avalancha...",0.11919377744197845,0.6452283263206482,0.021021012216806412,0.04557247832417488,0.13510064780712128,0.01193096674978733,0.021952861919999123,9,1,149.46,0.84,0.45
Héroes del Silencio,La Chispa Adecuada,"Las palabras fueron avispas
y las calles como dunas
cuando aún te espero llegar
en un ataud guardo tu tacto y
una corona
con tu pelo enmarañado
queriendo encontrar un
arco-iris infinito
mis manos que aún son de hueso
y tu vientre sabe a pan
la catedral es tu cuerpo
eras verano y mil tormentas yo
el león
que sonríe a las paredes
que he vuelto a pintar del
mismo color

No sé distinguir entre besos y
raices
no sé distinguir lo complicado
de lo simple
y ahora estas en mi lista de
promesas a olvidar
todo arde si le aplicas la chispa
adecuada

El fuego que es a veces propio
la ceniza siempre ajena
blanca esperma resbalando por
la espina dorsal
ya somos más viejos y sinceros
y qué más da
si miramos la ""laguna""
como llaman a la eternidad
de la ausencia

No sé distinguir entre besos y
raices
no sé distinguir lo complicado
de lo simple
y ahora estás en mi lista de
promesas a olvidar
todo arde si le aplicas la chispa
adecuada",0.23705919086933136,0.26892799139022827,0.07727496325969696,0.19465547800064087,0.1771651804447174,0.020924217998981476,0.023992998525500298,2,0,113.27,0.4,0.24
Héroes del Silencio,La Carta,"No hace mucho que leí tu carta,
y, sin fuerzas para contestar,
mil pedazos al viento nos separan.
pondré casa en un país
lejano para olvidar
este miedo hacia ti, este miedo hacia ti.
Y no hace mucho que rompí
tu recuerdo pensando
acabar de una vez.
pero el tiempo y la distancia
no son todo para mí
siempre hay algo que me hace volver.
Siempre he escuchado, y ya no te creo
¿por qué no te entiendo?
¿por qué estás tan lejos?
siempre he escuchado, y ya no te creo
¿por qué no te entiendo?
¿por qué estás tan lejos?
Sé que siempre he sido así
y que no tengo remedio,
ni lo quiero tener.
pero ni el miedo ni tu cartas
lo son todo para mí
quizás otra vez te echaré la culpa a ti.
Siempre he escuchado, y ya no te creo
¿por qué no te entiendo?
¿por qué estás tan lejos?
siempre he escuchado, y ya no te creo
¿por qué no te entiendo?
¿por qué estás tan lejos?",0.4765830934047699,0.15122373402118683,0.10002002865076065,0.1474715918302536,0.03616935387253761,0.01656067743897438,0.07197153568267822,9,0,170.18,0.86,0.53
Héroes del Silencio,La Sirena Varada,"Y me he enredado siempre entre algas
maraña contra los dedos
cierras la madeja,
con el fastidio del destino

Y el mordisco lo dan otros
encías ensangrentadas
y miradas de criminales
a grandes rasgos podrías ser tu.

Echar el ancla a babor
y de un extremo la argolla,
y del otro tu corazón
mientras tanto, !Te sangra!

Y el mendigo siempre a tu lado,
tu compañero de viaje
cuando las estrellas te alcancen
tarde o temprano
también vendrás tú.

Y duerme un poco mas
los párpados no aguantan ya
luego están las decepciones
cuando el cierzo
no parece perdonar

Sirena vuelve al mar
varada por la realidad
sufrir de alucinaciones
cuando el tiempo no parece escuchar.

Dedicarte un sueño
cerrar los ojos
y sentir oscuridad inmensa
entregado a una luz

Como un laberinto de incertidumbre
esquivas la pesadilla
y sobrevolar el cansancio
y en un instante
en tierra otra vez

El miedo a traspasar la frontera
de los nombres,
como un extraño.

Dibuja la espiral de la derrota
y oscurece tantos halagos,
sol, en la memoria que se va

Y duerme un poco mas
los párpados no aguantan ya
luego están las decepciones
cuando el cierzo
no parece perdonar

Sirena vuelve al mar
varada por la realidad
sufrir de alucinaciones
cuando el tiempo no parece escuchar",0.1695341020822525,0.24733491241931915,0.06252730637788773,0.42328450083732605,0.045477576553821564,0.020773153752088547,0.031068405136466026,8,0,160.05,0.92,0.69
Héroes del Silencio,Mar Adentro,"Y por fin he encontrado el camino
que ha de guiar mis pasos,
y esta noche me espera el amor
en tus labios.

De cada mirada, por dios,
ardía el recuerdo en mi interior,
pero ya he desechado
por siempre la fruta podrida.

En la prisión del deseo estoy.
y aunque deba cavar en la tierra
la tumba que sé que me espera,
jamás me vio nadie llorar así.

Que termine un momento precioso
y le suceda la vulgaridad,
y nadar mar adentro
y no poder salir.

En la prisión del deseo estoy
junto a ti.

Y por fin he encontrado el camino
que ha de guiar mis pasos,
y esta noche me espera el amor
en tus labios.

De cada mirada, por dios,
ardía el recuerdo en mi interior,
y nadar mar adentro
y no querer salir.

En la prisión del deseo estoy.
en la prisión del deseo estoy
junto a ti.
en la prisión del deseo estoy
junto a ti.",0.22388623654842377,0.05180026590824127,0.6336570978164673,0.03704821690917015,0.027718454599380493,0.014575070701539516,0.011314677074551582,2,0,140.35,0.87,0.47
Héroes del Silencio,Iberia Sumergida,"Amanecí
con los puños bien cerrados
Y la rabia insolente
de mi juventud

La ingenuidad
nos absuelve de equivocarnos
que cada uno aporte
lo que sepa

Te hicieron pan
y ahí te consumimos
y la venganza es un trasto
tan inútil

Este es mi sitio
Y esta es mi espina
Iberia sumergida en sus
rumores clandestinos

Formulas preguntas
con semilla de respuesta
y conozco cuál es tu camino
de memoria

Descreo de la razón
de la mayoría
y sus abrazos propietarios
sin salida, salida

Ahora que padeces de insomnio
quisieras morir de siesta

Este es mi sitio
Y esta es mi espina
Iberia sumergida en sus
rumores clandestinos",0.18665321171283722,0.31421709060668945,0.05281370133161545,0.2366245537996292,0.12642261385917664,0.037019409239292145,0.04624944180250168,9,0,121.73,0.92,0.49
