artist,song,lyrics,neutral,fear,anger,surprise,disgust,sadness,joy,key,mode,tempo,energy,valence
NATHY PELUSO,BUENOS AIRES,"Me empieza a molestar que haga frío en la ciudad
No paro de apagar ese despertador
Cansada de esperar fumando sola en el balcón
Imaginando que alguien me viene a buscar

Conozco esa pesada sensación de soledad
Pero ¿a quién esperamos?
Melancolía barata en la televisión
¿A dónde va eso a lo que rezamos?

Esa noche me convertí en animal
Pude ser una aprendiz de esa ansiada libertad
Es domingo, no me quiero levantar
Suena el timbre, y allá fuera está lloviendo

Me empieza a molestar que haga frío en la ciudad
No paro de apagar ese despertador
Cansada de esperar fumando sola en el balcón
Imaginando que alguien me viene a buscar

Apagué el teléfono sin avisar
¿Para qué voy a pedir perdón?
Si al final todos buscamos escapar
Escucho que me llaman de afuera
Y no sé qué hacer

Me empieza a molestar que haga frío en la cuidad
No paro de apagar ese despertador
Cansada de esperar fumando sola en el balcón
Imaginando que alguien me viene a buscar

¿Qué pasará allá afuera?
Comencé a acostumbrarme a ese ruido de la vereda
Puedo rebobinar, y poner pausa a lo que suceda
Pero a las 3 de la mañana
Todos nos miramos cuando llueve en la ciudad",0.4129997789859772,0.3164665699005127,0.09746889770030975,0.0642571747303009,0.06239552050828934,0.026000933721661568,0.0204110536724329,5,0,85.0,0.57,0.59
NATHY PELUSO,VIVIR ASÍ ES MORIR DE AMOR,"Siempre me traiciona la razón
Y me domina el corazón
No sé luchar contra el amor
Hmm

Siempre me voy a enamorar de quién de mí no se enamora
Y es por eso que mi alma llora
Y ya no puedo más, ya no puedo más
Siempre se repite esa misma historia

Y ya no puedo más (ya no puedo)
Ya no puedo más (ya no puedo)
Estoy harta de rodar como una noria

Vivir así es morir de amor
Por amor, tengo el alma herida
Por amor, no quiero más vida que su vida
Melancolía

Vivir así es morir de amor
Soy mendiga de sus besos
Soy su amiga, pero yo quiero ser más que eso
Melancolía

¡Uh!

Siempre se apodera de mi ser
Mi serenidad se vuelve locura (se vuelve locura-cura)
Y me llena de amargura
Ah-ah

Siempre me voy a enamorar de quién de mí no se enamora
Y es por eso que mi alma llora
Y ya no puedo más, ya no puedo más
Siempre se repite la misma historia

Y ya no puedo más (ya no puedo)
Ya no puedo más (ya no puedo)
Harta de rodar como una noria
(Ya no puedo, ya no puedo, ya no puedo, ya no puedo)

¡Uh!

Vivir así es morir de amor
Por amor, tengo el alma herida
Por amor, no quiero más vida que su vida
Melancolía

Vivir así es morir de amor
Soy mendiga de sus besos
Soy su amiga, pero yo quiero ser más que eso
Melancolía

(Vivir así)
(Melancolía)
(Vivir así es)

Vivir así es morir de amor
Vivir así es morir de amor
Vivir así es morir de amor
Vivir así es morir de amor

(Vivir así es morir de amor)
(Vivir así es morir de amor)
(Vivir así es morir de amor)
(Vivir así)",0.47945424914360046,0.1325708031654358,0.055022116750478745,0.14593596756458282,0.08250606060028076,0.06042271479964256,0.04408816620707512,5,0,102.0,0.8,0.72
NATHY PELUSO,DELITO,"Todo lo que dije, eh-eh-eh-eh

Todo lo que dije, no me importa
Cuando me mira con esa maldad
¿No ve' que a mí no me asusta? Puedo ser injusta
Si vo' me venís a buscar, sabe' que no
Me someteré a la tentación
Nadie más hace que yo
Sienta esta química, tensión sexual

En la disco quiero tu mordisco, oh yes
Gateando la disco, oh yes, sir
Dame en la disco, oh yes
Dame en la disco, oh yes, sir

To the floor tan nasty que eres fanático
Bailando en la pista, sudando alcohol
Me 'tá perreando el corazón
Bailamo', que parece un delito
Junto' no' podríamo' condenar
Cometamo' una tragedia
Y si nos atrapan, para escapar
Tenemo' la excusa perfecta

A esta vida de crímen yo me someto
E' un tatuaje en mí, te lo prometo
Si esto e' condena, hagámoslo en secreto
Raspemo' las rodilla' en el cemento

En la disco quiero tu mordisco, oh yes
Gateando la disco, oh yes, sir
Dame en la disco, oh yes
Dame en la disco, oh yes, sir

To the floor tan nasty que eres fanático
Bailando en la pista, sudando alcohol
Me 'tá perreando el corazón
Bailamo', que parece un delito
Junto' no' podríamo' condenar (Oh-oh-oh, oh-oh)
Cometamo' una tragedia (Oh-oh-oh, oh-oh)
Y si nos atrapan, para escapar (Oh-oh-oh, oh-oh)
Tenemo' la excusa perfecta

Sí, soy presa de esta mala decisión
Con la navaja al corazón
No puedo ya más curarlo ahora
Somos un asesinato a la razón (Oh-oh)
Yo me quedaré hasta que vos no
Puedas ya más soltarme, yeah-eh-eh, oh (Oh-oh)

En la disco quiero tu mordisco, oh yes
Gateando la disco, oh yes, sir
Dame en la disco, oh yes
Dame en la disco, oh yes, sir

To the floor tan nasty que eres fanático
Bailando en la pista, sudando alcohol
Me 'tá perreando el corazón
Bailamo', que parece un delito

Todo lo que dije, todo lo que dije
To-Todo lo que dije, todo lo—todo lo—
Todo lo que dije, todo lo que dije
To-Todo lo que dije, todo lo—todo lo—
Bailamo', que parece un delito
Bailamo', que parece un delito
Bailamo', que parece un delito
Bailamo', que—bailamo', que—
Bailamo', que parece un delito
Bailamo'-Bailamo'-Bailamo'-Bai—
Bailamo', que parece un delito
Bailamo'-Bailamo'-Bailamo'-Ba—, wuh",0.13799606263637543,0.4710799753665924,0.07393167912960052,0.03665189445018768,0.1768971085548401,0.07377463579177856,0.029668664559721947,7,0,82.61,0.51,0.65
NATHY PELUSO,MAFIOSA,"Cu-cu-cu-cu-cu-cu

No cualquiera se me acerca, yo lo sé
Dicen que hay que tener agallas pa' comerme
Que hay tener el cuerpo para aguantarme
¿Cómo es que uste' sabe tanto de mí?
Dale jura que jura
Si pongo mano' en el fuego por ti, me las quemo segura (¡Ah!)
Se rumorea que hay dos clase' de pendejo'
El que habla por la espalda y el que se mira al espejo (Jaja)
Y yo le pregunto al cielo si algún día alguno se atreverá
Si tanto miedo me tienen, ahora témanme de verdad

Voy a ser mafiosa, la maravillosa
Que me teman los hombres malos
Cuando yo llego en mi carro
Los man se desesperan
Se asustan y aceleran (Wuh-uh-uh)

Si se le ocurre que está a la altura, pues uste' mándeme un email
¿Qué mierda le pasa a los hombres cuando se trata de una mujer?
Tengo mis conviccione', no tengo amore', tampoco herencia' (Prru)
Me la paso en avione', pero a la noche quiero calor (¡Eh!)
Llamo a los celulare' de eso' nenes arrepentidos (Oh, oh-oh, oh-oh)
Todos tienen excusas para pasar inadvertidos (Oh, oh-oh, oh-oh)
¿Acaso están asusta'os? Yo ya no me lo puedo creer
Al menos haría plata si diera miedo a los del poder

Voy a ser mafiosa, la maravillosa
Que me teman los hombres malos
Cuando yo llego en mi carro
Los man se desesperan
Se asustan y aceleran (Wuh-uh-uh)
¡Ay, Dio' mío!
Cu-cu-cu-cu-cu-cu
¡Brrum, brrum!

Y nene, ahora voy sin maquillaje
Y por la calle me dicen que soy la belicosa
La má' peligrosa
Voy a ser mafiosa, la maravillosa
Voy a ser mafiosa
La má' peligrosa del lugar
¡Te amo, Gloria!
Peluso, ¿qué pasó, que está tan peligrosa?
¿Acaso le tienen miedo a la' mujere' poderosa'?

Tengan cuida'o (¡Ay!)
A mí la noche me vistió
De mafiosa pa' trabajar
Ya no soy la mujer que yo era
Tengan cuida'o
Bajo la—, bajo la luna me llaman ""criminal""
De maleante la van a acusar
Romance, cuchillo y dinero
Tengan cuida'o
Ajá, mujer con hambre de poder
De mafiosa (Poderosa) pa' trabajar
Ya no pido perdón ni permiso
Tengan cuida'o (Mira)
Me dispararon en el corazón
Y ahora dicen que soy
La mafiosa, ¡ah!",0.22944769263267517,0.34689614176750183,0.1286155730485916,0.11560162901878357,0.04160388186573982,0.054516762495040894,0.08331834524869919,1,1,180.08,0.67,0.85
NATHY PELUSO,SANA SANA,"Ladies

I've got the strength to break the head
Bring me the sharp knife
Argentine like Mercedes Sosa
You know that I am the dangerous woman
I know how to speak to my bitch
I know how to cut the hashish
If I show it to you, the police will show up
If I squat, you'll feel my clitoris

Look, how elegant, seen, Prada with hair rollers
Turned into gasoline to set the skin on fire
To lie to me, study up on it first
Grab me here, come, get with the program, asshole

And if the IMF gets to me
If thеy think they're going to eat from my soup
Hip with thе hip, with the hip-hip-hop
Hip with the hip, with the hip-hip-hop

Heal-eal-eal-eal-eal-eal-eal
Heal-eal-eal-eal-eal-eal-eal
Heal-eal-eal-eal-eal-eal-eal
Heal-eal-eal-eal-eal-eal

It's the champion sound
It's the champion sound (Ladies)
It's the champion sound
It's the champion sound

Look, how elegant, seen, Prada with hair rollers (Rollers)
Turned into gasoline to set the skin on fire
To lie to me, study up on it first
Grab me here, come, get with the program, asshole

And if the IMF gets to me
If they think they're going to eat from my soup
Hip with the hip, with the hip-hip-hop
Hip with the hip, with the hip-hip-hop
And if the IMF gets to me
If they think they're going to eat from my soup
Hip with the hip, with the hip-hip-hop
Hip with the hip, with the hip-hip-hop

Heal-eal-eal-eal-eal-eal-eal (Hip-hop)
Heal-eal-eal-eal-eal-eal-eal
Heal-eal-eal-eal-eal-eal-eal
Heal-eal-eal-eal-eal-eal

I know how to speak to my bitch
I know how to cut the hashish
If I show it to you, the police will show up
If I squat, you'll feel my clitoris

And if the IMF gets to me
If they think they're going to eat from my soup
Hip with the hip, with the hip-hip-hop
Hip with the hip, with the hip-hip-hop
And if the IMF gets to me
If they think they're going to eat from my soup
Hip with the hip, with the hip-hip-hop
Hip with the hip, with the hip-hip-hop

Heal-eal-eal-eal-eal-eal-eal (Hip-hop)
Heal-eal-eal-eal-eal-eal-eal (Hip-hop)
Heal-eal-eal-eal-eal-eal-eal (Hip-hop)
Heal-eal-eal-eal-eal-eal (Hip-hip)

It's the champion sound
It's the champion sound (Ladies)
It's the champion sound
It's the champion sound",0.07151902467012405,0.18458683788776398,0.6640844941139221,0.005713541526347399,0.060613181442022324,0.007768032606691122,0.005714740138500929,2,1,168.71,0.73,0.47
NATHY PELUSO,TODO ROTO,"Levántate perra, no hay tiempo
Si te duele, curita

Todo roto
De mis moves tengo yo el control remoto
Vos no me vas a decir a quién se lo reboto
Me caí, me raspé, escupí, te putié
Y aunque me costó me levanté
Con todo roto

'Todo roto, stop'
(¡Maderfaka!)

Vida loca, to' los días busy
Más misiones, desbloqueé el jacuzzi
Quiero vitamina, no la vita C
Le gané a la muerte como Vico C

Okey, siempre voy a ser yo
Con estas cicatrices
Voy a jugar a Dios
Hasta que alguien me avise

Modo maderfaka
Hay que hacer más plata
Si no te gustan las reglas
Ahí está la faca

Ya me lo dijo una bruja
Vas a tocar en River
Me teñí de rubio puta
Me siento Justin Bieber

Todo roto
De mis moves tengo yo el control remoto
Vos no me vas a decir a quién se lo reboto
Me caí, me raspé, escupí, te putié
Y aunque me costó me levanté con todo roto

Destrucción total
Siempre busco chocar
Velocidad letal
Por suerte la puedo contar, soy barro
Estoy doblando el metal
Roto como un cristal
Guarda que puedo cortarte
Rompo para hacer arte
Si rompí no pienso pagar, na

Si juego me prenden fuego como a Juana
Una oveja negra, me quieren sacar lana

Control Z, lo deshago
Estoy roto, estoy vago
Saben que ni me busqué
Me perdí, me encontraron

Todo roto
De mis moves tengo yo el control remoto
Vos no me vas a decir a quién se lo reboto
Me caí, me raspé, escupí, te putié
Y aunque me costó me levanté
Con todo roto

'Todo roto'

Rota como si se partiera la Torre Eiffel ('flash')
Rota como cuando Frankie canta 'Tú con él'
Estoy rota pero estoy buena primero
Y a lo roto le pongo grasa y lo recupero

El 'Corashe' arriba de la mesa
Ahora sé cómo cortar la milanesa
Re violento like american belleza
Y aunque siento que estoy rota me miro al espejo y soy

Fuerte como Brad peleando en el Club de la Lucha
Como Kanye cuando se sube la capucha
Tengo la mala educación y de mala mucha
Como Hitchcock cuando entra en la ducha

Todo roto
De mis moves tengo yo el control remoto
Vos no me vas a decir a quién se lo reboto
Me caí, me raspé, escupí, te putié
Y aunque me costó me levanté
Con todo roto",0.09912330657243729,0.45457762479782104,0.34332871437072754,0.02662564441561699,0.01846631057560444,0.03756057471036911,0.020317889750003815,1,0,143.97,0.69,0.58
NATHY PELUSO,BUSINESS WOMAN,"Mira, nene, óyeme
Don't play with my ass
'Cause if you play with my ass
You will quemarte

Me llaman porque soy una business woman
Tengo negocios que dirigir yo sola
Hago guita desde que nací bien piola
Me llaman porque soy una business woman

Pura amenaza mira
Cómo se lo tira la nenaza
Todos los pibes
Se rajaron de la plaza
Flaco bórrate esa cara de caballito
Después de probarme te quedaste derechito
Soy una nena mala, una droga asesina
Me brillan las tetas
Me queres de vecina
Me gusta el boxeo, la baba, la rabia
Vamos a pegarnos sin los guantes
Sexo sucio
Caro carísimo
Mira cómo se te caen
Los billetes sin tocarme
Soñaste conmigo
Quién cojones eres tú
Nadie te pidió permiso
Veo tu cara aplastada
De gusto en el piso, bitch

Me llaman porque soy una business woman
Tengo negocios que dirigir yo sola
Hago guita desde que nací bien piola
Me llaman porque soy una business woman

Tengo boca jugosa
Y la mente dura
Soy una bicha sabia
Mi saliva es pura
Una coco tibia
Mira mi estatura
Muevo money hasta cuando me hacen la manicura

Si queres durazno
Aguanta la pelusa
No quieres que te guste
Porque soy dirty sucia
Te la puse tiesa con mi ritmo, con mi astucia
Soy cabrona poniéndote el culo en la cara, eh?
No te avergüences, tengo poder
Hago lo que quiero, carajo
Hago la ley
Me pone mi trabajo
Te tengo en la cocina arrodillado moliendo ajo, ay
Soy el diablo si quiero
Un ángel del cielo
Ay cariño ¿qué tomaste?
Todito mi juguito calentito te tragaste
Mucho peso sobre mis hombros, mucho drama
Mírame a los ojos, chúpame como a una fucking dama

Me llaman porque soy una business woman (I'm-I'm-I'm a business woman)
Tengo negocios que dirigir yo sola (I'm-I'm-I'm a business woman)
Hago guita desde que nací bien piola (I'm-I'm-I'm a business woman)
Me llaman porque soy una business woman (I'm-I'm-I'm a business woman)

I'm business woman in a business world
Cuidado que soy picante
Y esto me da calor (I'm-I'm-I'm a business woman)
I'm business woman in a business world
No tengo tiempo y toda tu guita la manejo yo
I'm business uh in a business world
Cuidado que soy picante
Y esto me da — mm
I'm business woman in a business world
No tengo tiempo y toda tu guita la manejo yo

La hechicera del mambo
Te vino a cabalgar
Sólo al rapear mis barras
Ay te puedo yo matar
Tengo las piernas mojaitas
No las consigo secar
Ay ya me estaba calentando
De tanto laburar
Soy voluminosa latina letal y sugerente soy nena peligrosa
Y voy directo a tu mente
Pregúntate cuánto odias
Cuánto amas
No vine a dar lección
No vine a hacer tu cama
Te vi rezándole a papá en el suelo
Ay qué miedo da la oscuridad
Cuando me lo hagas tírame del pelo rindo con agua porque puedo
Yo corto el roquefort
Si queres comer vení que yo tengo el tenedor",0.2592026889324188,0.09577915817499161,0.3283151090145111,0.0269380621612072,0.22468233108520508,0.032715436071157455,0.03236723318696022,5,1,82.93,0.68,0.73
NATHY PELUSO,APRENDER A AMAR,"No me meto, no me meto, pero sí me meto a la política
No me siguen, no me reconocen porque siempre llevo peluquita
No soy débil, no soy evidente, soy una pendeja casi clásica
Gente que tiene money, gente pelotuda, tiene mucha guita

Cuando el dueño viene a la cocina, sabe que yo soy la que mejor amasa
Hace tiempo que no vuelvo a casa, ¿qué miras, pendejo? ¿Qué pinga te pasa?
Todo en esta vida cuesta money, cuesta minutero, cuesta vaselina
Nada bueno salió de apurarse, nada se consigue sin la disciplina

Mucho lujo, pero de segunda
Mucha labia, pero se te inunda
Mucha labia, mucha milanesa
Mucho paco y poca mayonesa
Muchas risas, muchas bendiciones
Pero nadie cumple ninguna promesa

Tienes que aprender a amarte
Tienes que aprender a amarte, perra
Tienes que aprender a amarte
Tienes que aprender

Me pongo joya para salir en la foto
Derrapo bici con el casco de la moto
Capítulo 40 no necesita piloto
La capital pelea y se avecina un terremoto

Mamarracho, quémate en el cenicero
Qué pistacho, todo aquí vale dinero
Pero ¿cómo va a salir 9 lucas, boludo?

Aunque le ponga azúcar a la política, tiene sabor a cemento
Todos queremos la revolución, pero ¿quién le dedica un momento?
""Para odiar, hay que querer"", dijo el Pity
Toca atravesar la calentura de la city

Tienes que aprender a amarte
Tienes que aprender a amarte, perra
Tienes que aprender
Tienes que aprender a amarte",0.47254273295402527,0.16096965968608856,0.18011239171028137,0.058682993054389954,0.0980445146560669,0.018494127318263054,0.011153536848723888,1,1,107.9,0.58,0.44
