artist,song,lyrics,neutral,fear,anger,disgust,surprise,sadness,joy,key,mode,tempo,energy,valence
Ed Maverick,Fuentes de Ortiz,"Ya dime si quieres estar conmigo o si mejor me voy
Tus besos dicen que tú sí me quieres pero tus palabras no
Y al chile, yo hasta moriría por ti pero dices que no
No eres directa, neta ya me estás cansando, sé concreta por favor

Y en la noche que las estrellas salen
Yo pienso en ti mi amor
¿Qué me hiciste? De mi cabeza no sales
Y no lo digo por mamón
Si me dices para ti qué soy
No dudaré en hacerte tan feliz
Eres especial para mí

Dime, ¿por qué me haces sufrir?
Yo te olvidaré desde las Fuentes de Ortiz

Soy inseguro cuando dices que me quieres porque creo que no
Como bebé caigo pero si redondito en tu trampa, amor
Ya dime si tú me quieres, por favor
Ya he sufrido y me he empedado tanto por tu amor

Y en la noche que las estrellas salen
Yo pienso en ti mi amor
¿Qué me hiciste? De mi cabeza no sales
Y no lo digo por mamón
Si me dices para ti qué soy
No dudaré en hacerte tan feliz
Eres especial para mí
Dime, ¿por qué me haces sufrir?

Yo te olvidaré desde las Fuentes de Ortiz",0.4441256523132324,0.21935370564460754,0.10544650256633759,0.09600973129272461,0.0830632820725441,0.03688210994005203,0.015119010582566261,1,1,104.95,0.16,0.19
Ed Maverick,Acurrucar,"¿Qué esperas de mí? Quiero ver qué piensas tú
Me dijiste ayer ""güey cero romántico""
Tienes que entender, no soy un güey básico
Aunque no te culpo, hay veces en que ni siquiera yo me entiendo
Quiero que sigamos aturrándonos la vida de recuerdos

U-u-u-u-uh
U-u-u-u-uh

Quiero que me digas que me quieres y que me vas a extrañar
'Mames, no me mires a los ojos que me vas a hacer llorar

Dime que esta no será la última vez que te voy a abrazar
Quisiera que todo fuera mentira y de chingazo despertar
Quisiera que todo fuera mentira y de chingazo despertar

Un día más, una vez más en tus brazos yo me quiero acurrucar
Un día más, una vez más en tus brazos yo me quiero acurrucar
Un día más, una vez más en tus brazos yo me quiero acurrucar
Un día más, una vez más en tus brazos yo me quiero acurrucar",0.5534495711326599,0.14125190675258636,0.08524027466773987,0.07380939275026321,0.10206395387649536,0.02346552535891533,0.020719392225146294,8,1,99.1,0.22,0.24
Ed Maverick,ropa de bazar,"Vámonos de aquí
Acompáñame
Yo te cuidaré
Como en las pedas y todo lo demás

Corre y no vuelvas
Si quieres, te ayudo a escapar
Corre, te sigo
Vámonos a cualquier lugar

Vámonos de viaje y no volver
Llegar a un hotel a coger
No importa, vamos a estar bien

Vamos a dejar nuestra ciudad
Comprarnos ropa de bazar
No importa todo lo demás

Ay, wey, qué felicidad de verte
Y luego tus labios besar
Ay, wey, qué felicidad de verte
Y luego tus pecas contar

Ay, que me pongo a pensar
Que por fin tamos solos
Tú y yo ya, a huevo

Ay, wey, qué felicidad de verte
Manejar el carro de tu papá",0.6002182960510254,0.162928968667984,0.0616222508251667,0.06329167634248734,0.03724150359630585,0.039921835064888,0.03477539122104645,0,0,92.66,0.2,0.14
Ed Maverick,Del río,"Dime
¿Por qué te vas?

Y en mi lado algo se puede interrumpir
Cuando apenas va a empezar
Por esta rola hasta la madre me partí
Espero la puedas escuchar

No hay nada que me ponga más feliz
Que tu boca empezar a hablar
Nadie nos podrá alejar ni a ti, ni a mí

Cuánto tiempo
Soñé a verte cara a cara
Cuánto tiempo tuvimos que ver pasar
Pa' que esto al final pasara

Y esa noche
En el techo de esa casa
Tomando y riendo bajo las estrellas
Lo que se nos antojara

Viéndome en tus ojos
Y sabiendo que te ibas a ir
Nadie nos podrá arruinar ni a ti, ni a mí

Yo sé que te tengo, pero no te tengo cerca de mí
Siento que algo falta y eso que me falta eres tú
Daría cualquier cosa por volver a verte sonreír
Pero aquí de frente y verte enfrente con tu cámara azul

Oh
Nadie nos podrá arruinar ni a ti, ni a mí",0.3477446138858795,0.26049038767814636,0.15135709941387177,0.1202642023563385,0.05278579518198967,0.04356374964118004,0.023794129490852356,3,1,105.59,0.61,0.16
Ed Maverick,"contenta,","Viéndome tan lejos de ti ya no sé qué hacer
Sonriendo y viéndote, hasta el cloro me sabe a miel
Y ya no sé, no sé por qué
Te sueño tanto tanto, ahora dormir se siente bien
Te pienso tanto tanto, que ya no sé si esté bien

Contento es que estoy por todo lo que ha pasado
Contento es que estoy con to' lo que me ha pasado

Y no ha de ser igual que todo lo que haces
No es conmigo ya, todo aquí sigue igual
Todo lo que aquí ves no lo has podido ver
Soy еl perro a tus pies, si quierеs ámame

Bueno, eran épocas distintas
Ella quería dejar su mundo por mí y las circunstancias me cegaron con cosas innecesarias
Porque, aunque mi mundo estaba cambiando por completo, yo sentía que se detenía
Y mientras ella esperaba por mí, yo en mi desesperación le di la espalda
Y según le prometí que la amaría en esta vida y en la siguiente
Y ahora, después de que el mundo se detuviera y nos encerráramos en nosotros mismos
Abro la puerta y veo un mundo distinto, un cielo distinto, una vida distinta
Como que ahora me arrepiento demasiado y en estos momentos lo dejaría todo para volar
Hasta donde ella está para amarla ahora, en la vida que sigue, porque la vida sigue y ya está",0.46605491638183594,0.22907721996307373,0.06790117174386978,0.112832210958004,0.022592460736632347,0.06218754127621651,0.03935447707772255,1,0,139.98,0.38,0.08
Ed Maverick,Quiero,"Quiero saber
Si tú eres para mí, soy para ti, o tú para mí
No sabes qué me haces sentir
Ya decidí, te quiero a ti, te quiero a ti, te quiero a ti

No importa que ese niño
Ya no quiera contigo
Si quieres, yo te sirvo
Como un hombro para llorar

No hay pedo, no me agüito
Tú sabes lo que pienso
No creo estar en la friendzone
Aunque a veces empiezo a dudar

Me arrepiento de ese beso que te di

Gracias por ser mi amiga
Te gusta, pero no le digas
O al menos
Eso me dijeron mis compillas

Ella sigue con ese wey clavada
Lo que tú hagas no sirve de nada
Me agarraron de bajada
Y me empiné el tequila

Qué pasaría si yo la besara
Tal vez me daría una cachetada
Me acerqué poco a poquito a ella
Al chile, se veía bien linda

Le dije: ¡Oye, bésame!
Me dijo: ¡Levántate!
Le dije: No estoy jugando
Y dijo: Yo tampoco

Dije: De seguro es puro pedo
Pero la neta no me importa un bledo
La tomé con mi mano derecha
Y luego sucedió la magia

Desde entonces soy feliz por ella
Porque no hay otra morra más bella
Y aunque ella sea la que no me pela
Lucharé por ella",0.31543728709220886,0.31965717673301697,0.17071573436260223,0.061667099595069885,0.05010378360748291,0.04006350785493851,0.042355358600616455,2,1,75.05,0.15,0.35
Ed Maverick,Wru -,"Sentado en la alfombra, basta con imaginar
¿Cómo estarás? Si me agüito, dejo de pensar
Pensar nunca es bueno, mames, deja de tomar
Como estaría chido verte con el mar atrás

Y quisiera un día verte enfrente de mí otra vez
Mi cuarto se ve vacío si no estás tú
Recuerdo tu carita hermosa y no sé qué hacer
Pero espero que, después de esto, te vaya bien

Y quisiera un día verte enfrente de mí otra vez
Mi cuarto se ve vacío si no estás tú
Recuerdo tu carita hermosa y no sé qué hacer
Pero espero que, después de esto, te vaya bien

¿Dónde estás?
¿Dónde estás?
¿Dónde estás?
Ay, ay, ay, ay, ¿dónde estás?

¿Dónde estás?
¿Dónde estás?
¿Dónde estás?
Ay, ay, ay, ay, ¿dónde estás?

Uh (¿dónde estás?)
Uh (¿dónde estás?)
Uh (¿dónde estás?, ¿dónde estás?, ¿dónde estás?)
Uh (¿dónde estás?, ¿dónde estás?, ¿dónde estás?)

Y quisiera un día verte enfrente de mí otra vez
Mi cuarto se ve vacío si no estás tú
Recuerdo tu carita hermosa y no sé qué hacer
Pero espero que, después de esto, te vaya bien",0.45502060651779175,0.2797779142856598,0.08583666384220123,0.0702708512544632,0.077987901866436,0.019444989040493965,0.011661083437502384,4,1,123.94,0.23,0.13
