artist,song,lyrics,neutral,disgust,fear,anger,surprise,sadness,joy,key,mode,tempo,energy,valence
Little Jesus,La Magia,"Ese trabajo te va a matar,
No se como lo puedes aguantar.
Abre los ojos para verlo:
Crees que estás lejos pero sigues igual.

Corriendo a toda velocidad.
Se te va el tren y no va a regresar.
Eso te pasa cuando cambias,
Eso te pasa por hablar de más.

¿Y que más da, lo que sera?
¿Cuánto tiempo crees que durará?
Si no tenemos nada, siempre podemos aportar:
Yo las canciones, y tu la magia.

Y yo sé que no vas a regresar.
Pero nadie se tiene que enterar
De lo que pasa cuando faltas,
Y todo lo que falta por pasar.

Corriendo a toda velocidad.
Sin miedo pero con ansiedad.
Los días se pasan muy lento,
Las noches son nuestras especialidad.

¿Y que más da, lo que sera?
¿Cuánto tiempo crees que durará?
Si no tenemos nada, siempre podemos aportar:
Yo las canciones, y tu la magia.

Y yo sé que no vas a regresar.
Pero nadie se tiene que enterar
De lo que pasa cuando faltas,
Esto te pasa por hablar de más.

¿Y que más da, lo que sera?
¿Cuánto tiempo crees que durará?
Si no tenemos nada, siempre podemos aportar:
Yo las canciones, y tu la magia.

No, no puede ser. ¿Qué vas a hacer?
Te quiero volver a conocer.
Si no tenemos nada siempre podemos aparecer:
Yo las canciones y tu la magia.",0.5470483303070068,0.15663835406303406,0.14601697027683258,0.07920173555612564,0.034827135503292084,0.023819701746106148,0.012447807006537914,10,1,156.94,0.88,0.48
Little Jesus,TQM,"Búscame cuando tu estado de ánimo no esté muy bien
Llévame por todos lados y cuando estés mejor, olvídame
Dile a todas tus amigas. Escríbeles ""jajaja""
Ahora que estás muy arriba y no sabes si pronto vas a bajar
Tuve un mal presentimiento ayer
Las nubes bajaron a ver cómo mis manos temblaron
Y mis piernas no pudieron correr

Sólo te quiero para que me digas lo que ya sé de mí
Llevarte hasta la cima del universo y dejarte ahí
Sólo te quiero para que me quites el sueño
Y me prestes un par de secretos
Hasta que dejen de serlo, y sean la verdad
Perder el tiempo y no encontrarlo ni un momento
Porque el planeta va muy lento
Y a veces siento que me quiero bajar

Estoy tratando de ocultarlo; que no puedo controlarlo
Me controla a mí, no me deja ver lo simple que puede ser
Todo el tiempo estoy pensando en el peor de los casos
Y a veces no me puedo contener
Dime que debo hacer

Sólo te quiero para que me digas lo que ya sé de mí

Estoy tratando de ocultarlo; que no puedo controlarlo
Me controla a mi, no me deja ver lo simple que puede ser
Todo el tiempo estoy pensando en el peor de los casos
Y a veces no me puedo contener
Dime que debo hacer
¿Cuántos minutos de cada año tengo que disimularlo?
Me siento en otro planeta y no sé si voy a volver",0.33967772126197815,0.1310151368379593,0.36556118726730347,0.07380741834640503,0.037278447300195694,0.03129918500781059,0.02136099338531494,7,1,105.03,0.39,0.24
Little Jesus,Azul,"Dime, ¿qué va a ser de ti cuando seas grande?
¿Será muy tarde para invitarte a inventar algo nuevo?
Naves espaciales que nos vuelvan parte
De cosas que antes no imaginaste y que ahora son un juego

¿Quién más va a creer
Tus historias del mundo al revés?
Quiero convencer
Te dé lo que sé, uh

Tú y yo somos igual que otros normales
Llegamos tarde a todas partes, siempre tenemos miedo
Vamos a crecer y dejar de creer en lo que nunca vemos
Pero sabemos que existe si queremos

¿Quién más va a creer
Tus historias del mundo al revés?
Quiero convencer
Te dé lo que sé

¿Quién más va a entender
Tus historias del mundo al revés?
Quiero convencer-
Te dé lo que sé, uh

Uh, azul, azul, azul
Se siente, se siente, se siente, se siente todo
Uh, azul, azul, azul
Se siente, se siente, se siente, se siente todo

Uh, azul, azul, azul
Se siente, se siente, se siente, se siente todo
Uh, azul, azul, azul
Se siente, se siente, se siente, se siente todo",0.5476532578468323,0.10055217146873474,0.21299386024475098,0.050795115530490875,0.06367002427577972,0.012385765090584755,0.011949877254664898,7,1,147.01,0.65,0.53
Little Jesus,Fuera de Lugar,"Que noche tan rara, yo sé que lo puedes ver
La ciudad se siente como una tormenta a punto de caer
De Sonora a Colima, sintiéndome Ulises Lima
Llegué en el peor estado posible y no te pude ver

Pero tu, pesadilla de locos solitarios como yo
Quiero hacerte respirar
Y yo, solo quiero verte regresar

Era un tonto, cuando yo te conocí
Quería comerme el mundo y eso te incluía a ti
Era salvaje pero me quedé en el viaje
Quiero que tu sepas todo, todo lo que no puedo decir

Pero tu, pesadilla de locos solitarios como yo
Quiero hacerte respirar
Y yo, solo quiero verte regresar
Pero tu, pesadilla de locos solitarios como yo
Quiero hacerte respirar
Y yo, solo quiero verte regresar

Tu, pesadilla de locos solitarios como yo
Quiero hacerte respirar
Y yo, solo quiero verte regresar
Solo quiero verte regresar
Solo quiero verte regresar",0.1265622079372406,0.06455166637897491,0.530438244342804,0.051917754113674164,0.015476233325898647,0.19977928698062897,0.011274599470198154,2,1,171.04,0.53,0.64
Little Jesus,Cabras,"Esta es la última carta de amor que te escribo
O la primera, si tú quieres
Y más que carta, es un rezo
Para pedirte que te acuerdes
Que nosotras nos conocimos en cautiverio
Cuando dormíamos en el piso
Cuando nos entraba el frío a través de la reja
Y nunca abríamos la puerta

No es tu culpa querer tanto
Amar nunca será malo

Para que te acuerdes que nos conocimos cansadas
Con la espalda contracturada
Y tú ya habías aprendido a bajar las armas
Por venir de una ternura infinita
Y yo tenía la guerra incrustada
Por venir de una herida abismal

No es tu culpa, quererme tanto
Amar nunca será malo

Todas las cosas tienen su ritmo
Y nosotras estábamos aceleradas
Cuando me conociste ya tenía taquicardia
Y cuando te conocí
Tú ya te sentías absolutamente sola

No es nuestra culpa querernos tanto
Amar nunca será malo

Yo te conocí cuidando un pedazo de Luna enferma
Al que le hicimos un funeral en nuestro patio
Con una caja de zapatos llena de buganvilias
Cavamos con el respaldo de una silla
Y nos dimos cuenta de lo dura que es la tierra

No es tu culpa querer tanto
Amar nunca será malo

Por eso te escribo
Para recordarte que empezamos
Como dos cabras en medio del fuego
Que siempre fuimos con prisa
Porque eso pasa cuando estás dispuesta
A poner tu vida por lo que llamas casa
Y porque en esa casa nuestro cuerpo era tan fugaz
Que mañana podríamos ya no estar

No es nuestra culpa querernos tanto
Amar nunca será malo

Para recordarte que nos conocimos amenazadas de muerte
Y que en cualquier momento alguien podría entrar
Romper el candado
Molernos a palos
Pero teníamos fe

No es tu culpa querer tanto
Amar nunca será malo

Para decirte que creer duele
Que confiar envejece
Que te pone de rodillas
Que hace que tu cuerpo se ponga en el borde
Y se deje caer

No es tu culpa, quererme tanto
Amar nunca será malo

Nunca tuvimos una cita
Nos conocimos en fuga con el rostro cubierto
Y tú ya sabes de mí que soy una nube
Y yo ya sé de ti que eres un sauce
Que nunca será un buen momento para dejarnos
Porque las cosas que se rompen
Nunca vuelven a existir

No es nuestra culpa querernos tanto
Amar nunca será malo

Tú me enseñaste a no ser una escapista
A observar cómo los gatos viven su dolor
Y que del amor una no debe arrepentirse
Para decirte que pido por ti como pido por mí
Y no me arrepiento

No es nuestra culpa querernos tanto
Amarte nunca será malo

Vivo mi dolor como los gatos
Vivo esta enfermedad de no verte dormir y la entiendo
Para decirte que estoy preparando mi propio funeral
O el funeral de esta cosa rota
Que se estrelló en la carretera

No es nuestra culpa querernos tanto
Amarnos nunca será malo

Entierro otra caja de zapatos
Aunque me rompa los brazos por cavar
Porque yo no sé salir del amor entera
Sino quebrada
Termino como serpiente, lo que empecé como cabra",0.547967791557312,0.05163469538092613,0.19477055966854095,0.07371915876865387,0.041047584265470505,0.06273960322141647,0.028120625764131546,11,1,146.99,0.9,0.83
Little Jesus,Norte,"Cuando el norte se vuelve el sur
Todos vemos la misma luz
Nunca fuimos como nos pensaban
Caminamos sin cansarnos
Hasta que el calor te apaga

Ay, qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver la mañana obligando a la luna a escapar
Qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver tu mirada y no poder hablar

Las olas hacen de mi voz
Hasta cuando se apaga el sol
Quiero tus sonrisas en un frasco
Listas para usar cuando no quede
Nadie más que hacerlo

Ay, qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver la mañana obligando a la luna a escapar
Qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver tu mirada y no poder hablar

Ay, qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver la mañana obligando a la luna a escapar
Qué mal
Que tengas que dormir cuando el día acaba de empezar
No hay nada
Peor que ver tu mirada y no poder hablar

Cuando el norte se vuelve el sur
Cuando el norte se vuelve el sur
Cuando el norte se vuelve el sur
Cuando el norte se vuelve el sur
Cuando el norte se vuelve el sur
Cuando el norte se vuelve el sur",0.5006754994392395,0.04228442162275314,0.22995536029338837,0.0874379575252533,0.03440288081765175,0.06798195093870163,0.03726194053888321,9,1,117.04,0.5,0.52
