artist,song,lyrics,neutral,fear,disgust,anger,surprise,joy,sadness,key,mode,tempo,energy,valence
Él Mató a un Policía Motorizado,El Tesoro,"Ah, paso todo el día pensando en vos
Ah, ¿qué hay de malo en todo esto?
Ah, paso todo el día pensando en vos
Ah, vos pensás que pierdo el tiempo

Perdón si estoy de nuevo acá
Pensé que habías preguntado por mí
Me gusta estar de nuevo acá
Aunque no hayas preguntado por mí
Voy a quedarme un poco acá
Cuidarte siempre a vos en la derrota
Hasta el final, del final

Ah, todo lo que hago es para vos
Ah, el tesoro se esta hundiendo
Ah, todo lo que hago es para vos
Ah, vos pensás que pierdo el tiempo

Perdón si estoy de nuevo acá
Pensé que habías preguntado por mí
Me gusta estar de nuevo acá
Aunque no hayas preguntado por mí
Voy a quedarme un poco acá
Cuidarte siempre a vos en la derrota
Hasta el final, del final

Es la depresión sin épica
La depresión sin épica",0.4410771429538727,0.2134919911623001,0.10674233734607697,0.08371268212795258,0.08241946995258331,0.0420185923576355,0.030537737533450127,1,0,112.87,0.75,0.57
Él Mató a un Policía Motorizado,La noche eterna,"Hoy, voy a salir a buscar todo lo que quiero
Voy a derrumbar, mi casa y empezar de nuevo
Todos se escondieron ya, bajo la noche eterna
Sé que el cosmos cuida a todos por igual

Dame algo ésta noche, esta noche es especial
Voy a recorrer tu casa en la oscuridad
Dame algo ésta noche, esta noche es especial
Tan brillante como el oro, en la oscuridad

Hoy, voy a salir a robar todo lo que quiero
Voy a derrumbar, mi casa y empezar de nuevo
Todos se escondieron ya, bajo la noche eterna
Sé que el cosmos cuida a todos por igual

Dame algo esta noche, esta noche es especial
Voy a recorrer tu casa en la oscuridad
Dame algo esta noche, esta noche es especial
Tan brillante como el oro en la oscuridad

Esta vez voy a ser lo que yo quiero ser
Esta vez voy a ser lo inesperado a ser

Dame algo esta noche, esta noche es especial
Voy a recorrer tu casa en la oscuridad
Dame algo esta noche, esta noche es especial
Tan brillante como el oro en la oscuridad",0.5469368100166321,0.1680196225643158,0.04107236862182617,0.05339525640010834,0.030642898753285408,0.11220745742321014,0.047725580632686615,4,1,104.99,0.49,0.3
