artist,song,lyrics,sadness,neutral,surprise,fear,anger,joy,disgust,key,mode,tempo,energy,valence
Glass Animals,Heat Waves,"(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, but I think about you)
(You know that I'm never gonna lose)

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually I put somethin' on TV
So we never think about you and me
But today I see our reflections clearly
In Hollywood, layin' on the screen

You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new

I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I'll say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly unsad

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror",0.8662443161010742,0.05103965476155281,0.029389217495918274,0.018956193700432777,0.013292605988681316,0.011818849481642246,0.009259049780666828,11,1,80.87,0.53,0.53
Glass Animals,Gooey,"Alright, come close
Let me show you everything I know
A jungle slang
Spinning round my head and I stare
While my naked fool
Fresh out of an icky, gooey womb
A woozy youth
Dopes up on her silky, smooth perfume

Right my little pooh bear, wanna take a chance?
Wanna sip the smooth air, kick it in the sand?
I’ll say I told you so but you just gonna cry
You just wanna know those peanut butter vibes

My, my simple sir, this ain't gonna work
Mind my wicked words and tipsy topsy slurs
I can't take this place, no I can’t take this place
I just wanna go where I can get some space

Truth be told
I've been there, I've done this all before
I take your gloom
I curl it up and puff it into plumes

Right my little pooh bear, wanna take a chance?
Wanna sip the smooth air, kick it in the sand?
I'd say I told you so but you just gonna cry
You just wanna know those peanut butter vibes

My, my simple sir, this ain't gonna work
Mind my wicked words and tipsy topsy slurs
I can't take this place, no I can't take this place
I just wanna go where I can get some space

Hold my hand and float back to the summer time
Tangled in the willows, now our tongues are tied
How can I believe you, how can I be nice?
Tripping round tree stumps in your summer smile

Right my little pooh bear, wanna take a chance?
Wanna sip the smooth air, kick it in the sand?
I’ll say I told you so but you just gonna cry
You just wanna know those peanut butter vibes

My, my simple sir, this ain't gonna work
Mind my wicked words and tipsy topsy slurs
I can’t take this place, no I can’t take this place
I just wanna go where I can get some space",0.11046309024095535,0.40474042296409607,0.023934381082654,0.0908888503909111,0.14798004925251007,0.04163704812526703,0.18035611510276794,11,0,183.11,0.37,0.11
Glass Animals,Take A Slice,"Smells good up here
Yeah, it's the candle, yo it's uh yo it's uh sausage
(laughter)
Sausage candle
Most people don't do it the way I do it, very personal
So, like, even the money, twenties twenties twenties. Y'know, like whatever. I just like sausage

I don't ever wanna pick a slice
One is pretty but the other lies
Chewing on a fat smoke
No filter but you're puffing
Suckin' on a slim vogue
Dark Fingernail polish
I'm the treasure baby I'm the prize
Cut me rails of that fresh cherry pie
Shitty old pistola
Shot a bullet thru my wallet
Gonna go to Pensacola
Gonna fuck my way through college

You've gone with the thick rims
Big look with the lip ring and things
Wake me when the bell rings
I'm gonna sleep 'cos you live in my day dreams
You've gone with the thick rims
Big look with the lip ring and things
Wake me when the bell rings
I'm gonna sleep 'cos you live in my day dreams

Sitting pretty in the prime of life
I'm so tasty and the price is right
Stewing in the black dope
I'm filthy and I love it
Studebacker all gold
Got a shotgun in my pocket

You've gone with the thick rims
Big look with the lip ring and things
Wake me when the bell rings
I'm gonna sleep 'cos you live in my day dreams",0.017576832324266434,0.22865638136863708,0.004681803751736879,0.010586711578071117,0.04426004737615585,0.04084445536136627,0.6533938646316528,9,1,151.97,0.66,0.63
Glass Animals,The Other Side of Paradise,"When I was young and stupid my love
Left to be a rock and roll star
He told me please don't worry
Wise little smile that spoke so safely

He booked a one way ticket
Out west that's where they make it
Six kids stuck in a bedsit
To sunswept poolside riches

He met a girl who wore Versace
Pink feather coats and jumbo jewellery
Gonna be a hoop phenomenon
He's gonna be Hakeem Olajuwan

He's got a gold Camaro
He said over the payphone
I try to keep my cool but
My life turns in slow motion

Bye bye baby blue
I wish you could see the wicked truth
Caught up in a rush it's killing you
Screaming at the sun you blow into
Curled up in a grip when we were us
Fingers in a fist like you might run
I settle for a ghost I never knew
Superparadise I held on to
But I settle for a ghost

When I was from n.o.l.a no one
Left to be a rock and roll star
He'd stay and treat his lady
Give everything to his new baby

I miss him don't you blame me
That boy went stone cold crazy
Caught up in camera lust he's
Chasing that pappy pipe dreams

I know you don't but I
I know you don't but I still try
My thunder shook him down
My thunder came and shook him down
That girl is gone but I
That girl is gone but I still try
I think it's over now
The bullet hit but maybe not
I feel so fucking numb
It hits my head and I feel numb
My body's looking wrong
My body's looking wrong
My body's looking wrong

Bye bye baby blue
I wish you could see the wicked truth
Caught up in a rush it's killing you
Screaming at the sun you blow into
Curled up in a grip when we were us
Fingers in a fist like you might run
I settle for a ghost I never knew
Superparadise I held on to
But I settle for a ghost",0.5151810050010681,0.05621105059981346,0.031134868040680885,0.3583705425262451,0.023652207106351852,0.0066800955682992935,0.008770179003477097,11,0,128.01,0.34,0.57
Glass Animals,Youth,"Boy, when I left you, you were young
I was gone, but not my love
You were clearly meant for more
Than a life lost in the war

I want you to be happy
Free to run, get dizzy on caffeine
Funny friends that make you laugh
And maybe you're just a little bit dappy

Fly
Feel your mother at your side
Don't you know you got my eyes?
I'll make you fly
You'll be happy all the time
I know you can make it right

Boy, now your life is back-to-front
But you'll see that's not for long
'Cause I know you'll feel the ghost
Of some memories, so warm

Boy, I want you to be happy
Free to run, get dizzy on caffeine
Funny friends that make you laugh
And maybe you're just a little bit dappy

Fly
Feel your mother at your side
Don't you know you got my eyes?
I'll make you fly
You'll be happy all the time
I know you can make it right

Boy, I want you to be happy
Free to run, get dizzy on caffeine
Funny friends that make you laugh
And maybe you're just a little bit dappy

Fly
Feel your mother at your side
Don't you know you got my eyes?
I'll make you fly
You'll be happy all the time
I know you can make it right
I'll make you

Boy, I want you to be happy
Free to run, get dizzy on caffeine
Funny friends that make you laugh
And maybe you're just a little bit",0.17676641047000885,0.30187225341796875,0.054265476763248444,0.017310811206698418,0.012712277472019196,0.4262339770793915,0.010838729329407215,9,0,96.02,0.72,0.79
Glass Animals,Life Itself,"Daddy was dumb said that I'd be something special
Brought me up tough but I was a gentle human
Said that he loved each of my two million freckles
When I grew up was gonna be a superstar

I can't get a job so I live with my mom
I take her money but not quite enough
I sit in the car and I listen to static
She said I look fat but I look fantastic

Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe
Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe

I'm waking up, lost in boxes outside Tesco
Look like a bum sipping codeine Coca-Cola
Thought that I was northern Camden's own Flash Gordon
Sonic ray gun, gonna be a superstar

I can't get a job so I live with my mom
I take her money but not quite enough
I make my own fun in grandmama's basement
Said I look mad, she said I look wasted

Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe
Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe

Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe
Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe
Come back down to my knees
Gotta get back, gotta get free
Come back down to my knees
Be like them, lean back and breathe",0.3375464975833893,0.13669733703136444,0.029126562178134918,0.1714790165424347,0.24314962327480316,0.030995365232229233,0.051005586981773376,1,1,111.99,0.67,0.56
Glass Animals,Pork Soda,"Somewhere in South End when you were fun
You took my hand and you made me run
Up past the prison to the seafront
You climbed the cliff edge and took the plunge

Why can't we laugh now like we did then?
How come I see you and ache instead?
How come you only look pleased in bed?
Let's climb the cliff edge and jump again

Pineapples are in my head
(Pineapples are in my head)
Got nobody 'cos I'm brain dead
(Got nobody 'cos I'm brain dead)

Somebody said that I'm a fuckin' slum
Don't know that I belong
Maybe you're fucking dumb
Maybe I'm just a bum
Maybe you're fucking scum
Don't you go psycho chum
I want you for the world
I want you all the time

Pineapples are in my head
(when you were fun)
Got nobody 'cos I'm brain dead
(you made me run)
Pineapples are in my head
(to the seafront)
Got nobody 'cos I'm brain dead
(she took the plunge)

5000 footsteps in your wet dress
Back to the house with your arms around my neck
We drank pork soda with tangled legs
I won't forget how you looked at me then

I know I'm no sweet prince of love
Those times when we got drunk
Maybe Jamaica rum
Maybe some Jonnie Dub
Maybe you still think of us
Phone buzz, and still I jump
Why don't I say it then?
I want you all the time

Why can't we laugh now like we did then?
How come I see you and ache instead?
How come you only look pleased in bed?
Let's climb the cliff edge and jump again

Pineapples are in my head
(Pineapples are in my head)
Got nobody 'cos I'm brain dead
(Got nobody 'cos I'm brain dead)
Pineapples are in my head
(Pineapples are in my head)
Got nobody 'cos I'm brain dead
(Got nobody 'cos I'm brain dead)",0.07075346261262894,0.10238978266716003,0.12344174832105637,0.17782701551914215,0.32110869884490967,0.010657787322998047,0.1938215047121048,7,1,96.0,0.66,0.62
Glass Animals,Black Mambo,"What'll it be now mister mole
Whisper sloth in curls of smoke
Take a back seat
Or play pharaoh
Dance with me
And shake your bones

Slow down
It's a science
He's been waiting
To bring you down

Snake eyed
With a sly smile
He can hold you
And shake you child

Leopards laze each
On plush pillows
Slender capes
Of red and chrome

Paperback dreams
In their deep doze
Twitch their toes to
Black mambo

Slow down
It's a science
He's been waiting
To bring you down

Snake eyed
With a sly smile

He can hold you
And shake you child

Wanna play cheat
Now says the sloth
A domino
Flush to his nose

Tickle that cheek
And take your throne
Pump your veins
With gushing gold

Slow down
It's a science
He's been waiting
To bring you down
Snake eyed

With a sly smile
He can hold you
And shake you child

We can hold you
We can hold you
We can hold you
We can hold you",0.0035671161022037268,0.017383376136422157,0.004600503481924534,0.9425309896469116,0.023045947775244713,0.003196155419573188,0.005675849504768848,0,0,79.95,0.41,0.31
