artist,song,lyrics,anger,fear,neutral,surprise,disgust,sadness,joy,key,mode,tempo,energy,valence
MF DOOM,Doomsday,"(feat. Pebbles The Invisible Girl)

Mic check...
Come through, dig the sound!
Crowd around!

I used to cop a lot
But never copped no drop
Hold mics like pony tails, tight, in [????]
Stop and stick around
Come through and dig the sound
Of the fly brown six-o sicko psycho who throws his dick around
Bound to go three-plat
Came to destroy rap
It's a intricate plot of a b-boy strap
[? Vemstack?] cats get kidnapped
Then release a statement to the press - let the rest know who did that
Metal Face terrorists claim responsibility
Broken household name usually said in hostility
Um... what... MF, you silly
I'd like to take ""Mens to the End"" for two milli'
""Doo-doo-doo-doo-doo!"" That's a audio daily double
Rappers need to fall off just to save me the trouble, yo
Watch your own back
Came in and go out alone, black
Stay in the zone - turn H2O to Cognac
On Doomsday!
Ever since the womb 'til I'm back where my brother went
That's what my tomb will say
Right above my government, Doom will lay
Either unmarked or engraved, hey, who's to say?
I wrote this one in B.C. D.C. O-section
If you don't believe me, go get bagged and check then
Cell number 17, up under the top bunk
I say this not to be mean, wish bad luck or pop junk
Pop the trunk on See-Cipher-Punk, leave him left scraped
God forbid, if there ain't no escape, blame MF tape
Definition ""super-villain"": a killer who love children
One who is well-skilled in destruction, as well as building
While Sidney Sheldon teaches the trife to be trifer
I'm trading science fiction with my man the live lifer
A pied piper holler a rhyme, a dollar and a dime
Do his thing, ring around the white collar crime
Get out my face, askin' 'bout my case, need toothpaste
Fresher mint, monkey-style nigga get [?dentadent?]
And dope fiends still in they teens, shook niggas turn witness
Real mens mind their own business
That's the difference between sissy-pissy rappers that's double-dutch
How come I hold the microphone double-clutch
C.O.'s make rounds, never have 'ox found
On shakedown, lock-down, wet dreams of Fox' Brown
On Doomsday!
Ever since the womb 'til I'm back where my brother went
That's what my tomb will say
Right above my government, Doom will lay
Either unmarked or engraved, hey, who's to say?
Doomsday
Every since the womb 'til I'm back to the essence
Read it off the tomb
Either engraved or unmarked grave, who's to say?
Pass the mic like ""Pass the peas like they used to say""
Some M-er F-ers don't like how Sally walk
I'll tell y'all fools it's hella cool how ladies from Cali talk
Never let her interfere with the Yeti ghetto slang
Nicknames [? off nipple and tip of nipples?].metal fang
Known amongst hoes for the bang-bang
Known amongst foes for flow with no talking orangutangs
Only gin and Tang
Guzzled out a rusty tin can
Me and this mic is like yin and yang
Clang! Crime don't pay, listen, youth
It's like me holding up the line at the kissing booth
I took her back to the truck, she was uncouth
Spittin' all out the sunroof, through her missing tooth
But then she has a sexy voice, sound like Jazzy Joyce
So I turned it up faster than a speeding knife
Strong enough to please a wife
Able to drop today's math in the 48 keys of life
Cut the crap far as rap
Touch the mic, get the same thing a Arab will do to you for stealing
What the devil? He's on another level
It's a word! No, a name! MF - the super-villain!

Doomsday!

Dig the sound
Crowd around",0.5439025163650513,0.20357458293437958,0.127168670296669,0.05195549502968788,0.04470670595765114,0.01967698149383068,0.009015042334794998,6,0,95.42,0.82,0.85
MF DOOM,One Beer,"[MF Doom]
I get no kick from champagne
Their alcohol doesn't thrill me at all
So tell me why shouldn't it be true
I get a kick out of brew

[MF Doom]
There is only one beer left
Rappers screaming all in our ears like we're deaf
Tempt me
Do a number on the label
Eat up all their MC's and drink 'em under the table like
It's on me
Put it on my tab kid
However you get there
Foot it, Cab it, Iron horse it
You leaving on your face forfeit
I crush the mic hold it like the heat he might toss it
Told him tell they stole it
He told her he lost it
She told him get off it, and a bunch other more shit
Getting money
DT's be getting no new leads
It's like he eating watermelon stay spitting new seeds
It's da weed give me some of what he's drooping off
Soon as he wake up choking like it was whooping cough
The group been soft
First hour at the open bar and their trooping off
He went to go laugh and get some head by the side road
She asked him to autograph her dareair
It read to wide load this yard bird taste like fried toad
Turned love villain
Take pride and code words
Crooked eye mold nerd geek with a cold heart
Probably still be speaking in rhymes as an old fart
Study how to eat to dine by the pizza guy
No he's not to fly to skeet in a skezzers eye
And squeeze her thigh
Maybe giver her curves a feel
And the same way she feel it when she flow with nerves of steel
They call him super when they need their back or plumbing fixed
Powers only one left the pack comes in six
Whatever happened to two and three
A hood tried to slide with four and five and got caught
Like what you doing G
Don't make 'em have to get cutting like truancy
Matter fact not for nothing right now you and me
Looser than a pair of adidas
I hope you bought your spare tweeters
MC's sound like cheerleaders
Rapping and dancing like Red Head Kingpin
Dude can't do his thing again no matter how be blinging
You do it for the smelly hubbies
Seeds know what time it is like it's time for tellie tubbies
Few can do it even fewer can sell it
Take it from the dude who wears mask like a tarded helmet
He plots shows like robberies
In and out
One, two, three, no bodies please
Run the cash and you won't get a wet sweatshirt
The mic is the shootie nobody move nobody get hurt
Bring heat like the boy I'm going to war
Came in the door, and everybody on the floor
A whole string of jobs like we are on tour
Everynight on the score coming to your corner store",0.15137942135334015,0.08031237870454788,0.24243275821208954,0.022293206304311752,0.45083120465278625,0.034698717296123505,0.01805228553712368,7,1,91.12,0.72,0.62
MF DOOM,Hoe Cakes,"[Beatboxing is heard through the entire song]

[MF Doom]
KEEP YA HOES IN CHECK!(..Super!)
I got this girl and she wants me to duke Her
I told her I'd come scoop her around 8, she said ""Super!""
that sounds great, shorty girl's a trooper
no matter what I need her to do, she be like ""Super!""
own his own throne, the boss like King Koopa
on the microphone he flossed the ring ""Super!
average emcees is like a TV blooper
MF DOOM...hes like D.B. Cooper
out wit the moolah, I let her get a outfit
jus to cool her off she said niggaz ain't about shit
I wonder if she meant it, I doubt it
the way it be in her mouth, she can't live witout it
and can't live with this, handle yo bidness
villain'll stay on a scandalous hoes shit list
one pack of cookies please Mr. Hooper
its fun smackin rookies, he is the ""Super!""
look like a black wookie when he let his beard grow
weirdo, brown skin'ded always kept his hair low
rumor has it its a S-curl accident
DOOM was always known to keep the best girls backs bent
some say its the eyes, some say the accent
a lotta guys wonder where they stacks went
I call her thunder thighs, with the fatty swolla
only mess wit high rollas, do what daddy told her
no matter the city she with me to do the thang thang
work in the coochie, hooptie chitty chitty bang bang
same name on the titty as on the name ring
pretty like Baby D off ""all in the same gang""
keep my eye on her really don't trust her
but I treat her like a daughter, taught her how to bust a nut
and the heat to turn beef to horsemeat chalupa
teach her how to hold it, of course he is the ""Super!""
see most cats treat her like foofer
or beat her to a stupor, take it from the ""Super!""
ya need to make her feel cuter
and lay down the G like Luther, everythin'll be ""Super!""
do for her, keep her in a new fur
so she look sweet when she go to meet the ""Super!""
got the buddha get the Grenadiers, twist it
put it in the air, come 'ere, kiss it
listen here scooter, let her try to bag you
when she's on the rag never let her fry the Ragu
which will have you under some type of spell crying ""dag boo""
her name on ya back in her tattoo
whether a bourgie broad, nerd hoe, street chick
don't call her wifey if you met her at the freaknick
you don't want her don't waste her time, I'll dupe her
oh and be a father to ya child like the ""Super!""
he keep his hoes in check
sends 'em out to get glows from off frozen necks
tell 'em take his clothes, leave him posin nekkid for real
better yet, get 'em for the check off the record deal
find out where he keep the tek an the blue steel
make sure for extra wreck let 'em know how you feel
and while he's runnin down to all star weekend to ball
I'm comin with the U-HAUL!(Super!)
(..Super!) (...Super!)",0.22293315827846527,0.02265114337205887,0.18831568956375122,0.328097939491272,0.04560486972332001,0.039306480437517166,0.1530907303094864,1,1,92.18,0.61,0.95
MF DOOM,Rapp Snitch Knishes,"Yo! (Yo!)
MF DOOM (Mr. Fantastik)
Mr. Fantastik (Villain)
What up, nigga? (Ain't nuttin; what's the word?)
What's cracking, boy? (Same ol' shit, kid)
Man (Different day, you know?)
These rap snitches, man, shit is bugged out, man
What the fuck, man? (Shit, you telling me)
Niggas running their mouth, telling e'rything, e'rything (Critical)

Rap snitches, telling all their business
Sit in the court and be their own star witness
""Do you see the perpetrator?"" Yeah, I'm right here
Fuck around, get the whole label sent up for years, uh
Rap snitches, telling all their business
Sit in the court and be their own star witness
""Do you see the perpetrator?"" Yeah, I'm right here
Fuck around, get the whole label sent up for years

Type profile low, like A in Paid in Full
Attract heavy cash cause the game's centrifugal
Mr. Fantastik, long dough like elastic
Guard my life with twin Glocks that's made out of plastic
Can't stand a brown-nosing nigga, fake ass bastard
Admiring my style, tour bus through Manhattan
Plotting, plan the quickest, my flow's the sickest
My hoes be the thickest, my dro the stickiest
Street nigga, stamped and bonafide
When beef jump niggas come get me cause they know I ride
True to the ski mask, New York's my origin
Play a fake gangsta like an old accordion
According to him, when the D's rushed in
Complication from the wire, testimony was thin
Caused his man to go up north, the ball hit 'em again
Lame rap snitch nigga even told on the Mexican

Rap snitches, telling all their business
Sit in the court and be their own star witness
""Do you see the perpetrator?"" Yeah, I'm right here
Fuck around, get the whole label sent up for years
Rap snitches, telling all their business
Sit in the court and be their own star witness
""Do you see the perpetrator?"" Yeah, I'm right here
Fuck around, get the whole label sent up for years

True, there's rules to this shit, fools dare care
Everybody wanna rule the world with tears for fear
Yeah, yeah, tell 'em tell it on the mountain hill
Running up they mouth bill, everybody doubting still
Informer, keep it up and get tested
Pop through your bubble vest or double-breasted
He keep a lab down south in the little beast
So much heat you woulda thought it was the Middle East
A little grease always keeps the wheels a-spinning
Like sitting on twenty threes to get the squealers grinning
Hitting on many trees, feel real linen
Spitting on enemies, get the steel for tin men
Where no brains but gum flap
He said his gun clap, then he fled after one slap (Pap!)
Son, shut your trap, save it for the bitches
Mmm, delicious, rapp snitch knishes

You know what I'm saying? (It's terrible)
Crazy, man, I'm just analyzing this whole game
This is bugged out, man, niggas is snitching
Telling on they own self (It's a horror, yo)
Fuck around and get everybody bagged, man
(Atrocities) Fuck around and get yo mama bagged, nigga
You know your grandmama used to be bootlegging
Fake hustling nigga, heheheheh, haha
Perpetrator? Yeah, I'm right here...",0.5430991649627686,0.0352453738451004,0.02677123434841633,0.030465057119727135,0.34888359904289246,0.010269281454384327,0.005266332533210516,7,1,95.05,0.83,0.83
MF DOOM,Rhymes Like Dimes,"(feat. Cucumber Slice)

Yo, yo, yo, y'all can't stand right here
In his right hand was your man's worst nightmare
Loud enough to burst his right eardrum close-range
The game is not only dangerous, but it's most strange
I sell rhymes like dimes
The one who mostly keep cash but brag about the broker times
Joker rhymes, like the ""Is you just happy to see me?"" trick
Classical slap-stick rappers need Chapstick
A lot of 'em sound like they in a talent show
So I give 'em something to remember, like the Alamo
Tally-ho! A high Joker like Spades game
Came back from five year layin' and stayed the same
Sayin' - electromagnetic feeling blocks all logic, Spock
And G- shocks her biological clock
When I hit it, slit her to the shitter, thought I killed her goose
Her Power-Use was pure Brita water, filtered juice
Keep a pen like a fiend keep a pipe wit' 'im
Gentleman who lent a pen to a friend who write wit' 'im
Never seen the shit again, but he's still my dunny
Only thing that come between us is krill and money
I sell rhymes like dimes
The one who mostly keep cash but brag about the broker times
Better rhymes make for better songs, and that is not
If you got a lot of what it takes just to get along
Surrender now or suffer serious setbacks
Got get-back, connects wet-back, get stacks
Even if you gots to get jet-black, head to toe
To get the dough, battle for bottles of Mo' or 'dro
This rhyme flow take practice like Tae Bo
With Billy Blanks
""Oh, you're too kind!"" ""Really? Thanks.""
To the gone and lost forever like ""O My Darling Clementine""
He hold his heart when he tellin' rhymes
When it's his time, I hope his soul go to Heaven
He's nasty like the old time Old Number Seven
You still taste it when you chase it with the Coca-Cola
Make you wish they coulda erased out the Motorola
I told her - no credit for it back
If you want what they got, then go get it, it's all gak
Only in America could you find a way to make a healthy buck
And still keep your attitude on self-destruct
I sell rhymes like dimes
The one who mostly keep cash, but tell about the broke times
Joker rhymes, like the ""Is you just happy to see me?"" trick
Classical slap-stick rappers need Chapstick
A lot of them sound like they in a talent show
So I give 'em something to remember like the Alamo
Tally-ho! High Joker like Spades game
Came back from five years layin' - stayed the same
Sayin' - electromagnetic field will block all logic, Spock
And G-shock her biological clock
When I hit her, slit her to the shitter, thought I killed her goose
Her Power-Use was pure Brita water, filtered juice
Keep a pen like a fiend keep a pipe wit' 'im
Gentleman who lent a pen to a friend who write wit' 'im
Never seen the shit again, but he still my dunny
Only thing that come between us, is krill and money
We sell rhymes like dimes
The one who mostly keep cash but tell about the broke times

[Bobbito a/k/a Cucumber Slice]
Check it out, ch'all! Ya don't stop! Keep on, to the sure shot!
Huh-ha!
Uh, uh, uh, uh, oh!
Yeah, you're listening to the buttery slickness
The Land-O-Lakes from my man MF Doom!
Ha ha ha ha! Yeah!
Rock-shockin' the house, with another nugget
Uh-uh-ah, eh, oh, ah, hoo-wee!
Yeah!
Regulation status, right here, Fondle 'Em Recordings
1999
Yeah!
Now what are you 'posed to say on the end of records?
I don't know! Yeah!
Whoo! Yeah!
Mashed potatoes
Applesauce
Buttery... biscuits
And I get lost
A yes, yes, yes y'all
You don't stop
Keep on... a' to the breakadawn
Say what?
Uh!
Yeah!
You thought it all was over!
You thought the song was over!
Ah! We tricked you, we tricked you
Ha ha ha ha... Whoo!
You're listening to www.hairline.com
MF Doom, Cool Bob Love...",0.08053991943597794,0.639312207698822,0.04973997175693512,0.04553581029176712,0.1682492047548294,0.009714175947010517,0.006908695213496685,0,1,99.95,0.75,0.76
MF DOOM,Vomitspit,"IT's the beat
He hear it in his sleep sometime
Blare it in your jeep so your peoples can stare at them rhymes
Real rhymes not your everyday hologram
Even when ribs were touchin never swallowed the Ham
He'd rather eat a sand sandwich salad
It might need salt like your mans bland ballad
A lot of stuff happens that the news won't tell yous
Loose all L juice
Snooze all hell loose
Rake it
Take it like the good, the bad, the ugly
Break it rollin through ya hood in the cadi buggy
Butter softy, leather flossy, fatty juggy
Always threw me off when she told me daddy funk me
I'm like anywho's
Seeds walkin all out in street with out any shoes
I guess it's better than some funky socks
You need to get her some skips before she catch the monkey pocks
Instead she wants to hear the beatbox
Take pills and make fake krills as sheetrock
Sing it
Bring it back to your laboratory
While he's in his oratory
Glorious like a horror story
The mask is like Jason
They told the place not to let the basket type case in
He could be some kind of wacko
Waiting for the chance to heat the pipes like a crack hoe
He busted in
Blessed be the lord
Who believe any mess then read up on the message board
If so I got bridges for the low low
Same bitch a go dry snitchin to the popo
Yeah orange peal stoges for the hotel
Feel like I have been gone over a year came home to old gear
It was the shit when I first scooped it
At least I get to sit out in New York and curse stupid
Plead the fifth
Sip wine stiffly
Patiently come up and be spiffy in a jiffy
Gift for the grind
Criminal mind shifty
Swift with the nine through a fifty nine fifty
Well edjumacated he heard it when he meditated
In deep data had her hate the create plata
Dedicated cheap skata who keeps data
Sage stayed self medicated and sleep later
Side effects is similar to sugar pill
Who eva go next on the mic he put a bugger ewwww
And made his exit on some calm shit
Begged him on the regular for kegs of more Vomitspit",0.16302934288978577,0.04829712212085724,0.247247114777565,0.028227563947439194,0.4296501874923706,0.0665760189294815,0.016972731798887253,10,0,92.99,0.83,0.84
