artist,song,lyrics,surprise,anger,sadness,neutral,fear,disgust,joy,key,mode,tempo,energy,valence
Tame Impala,The Less I Know the Better,"Someone said they left together
I ran out the door to get her
She was holding hands with Trevor
Not the greatest feeling ever
Said: Pull yourself together
You should try your luck with Heather
Then I heard they slept together
Oh, the less I know, the better
The less I know, the better

Oh, my love
Can't you see yourself by my side?
No surprise
When you're on his shoulder like every night
Oh, my love
Can't you see that you're on my mind?
Don't suppose we could convince your lover to change his mind
So goodbye

She said: It's not now or never
Wait ten years, we'll be together
I said: Better late than never
Just don't make me wait forever
Don't make me wait forever
Don't make me wait forever

Oh, my love
Can't you see yourself by my side?
I don't suppose you could convince your lover to change his mind

I was doing fine without you
Till I saw your face, now I can't erase
Giving in to all his bullshit
Is this what you want? Is this who you are?
I was doing fine without you
Till I saw your eyes turn away from mine
Oh, sweet darling, where he wants you
Said: Come on, Superman, say your stupid line

Said: Come on, Superman, say your stupid line
Said: Come on, Superman, say your stupid line",0.6453995108604431,0.08744645118713379,0.08059613406658173,0.07341692596673965,0.05433730036020279,0.04426402598619461,0.014539630152285099,4,1,116.88,0.74,0.79
Tame Impala,Borderline,"Gone a little far
Gone a little far this time with somethin'
How was I to know?
How was I to know this high came rushing?

We're on the borderline
Dangerously fine and unforgiving
Possibly a sign
I'm gonna have the strangest night on Sunday

Here I go
Quite a show for a loner in LA
I wonder how I managed to end up in this place
Where I couldn't get away

We're on the borderline
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train
Like a train

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?

Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?

Will I be so in love?
Any closer? Close enough
Shout out to what is done
RIP, here comes the Sun

Here comes the Sun

Gone a little far
Gone a little far this time with somethin'
Rudi said it's fine
They used to do this all the time in college (if you and I get comfortable)

And we're on the borderline
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?

Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough

Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?

Will I be so in love?
Any closer? Close enough
Shout out to what is done
RIP, here comes the Sun

(Comes the Sun)",0.32926633954048157,0.15278328955173492,0.14201587438583374,0.11830034852027893,0.21349045634269714,0.04004646837711334,0.0040972172282636166,5,0,97.96,0.87,0.87
Tame Impala,"New Person, Same Old Mistakes","I can just hear them now
How could you let us down?
But they don't know what I found
Or see it from this way round
Feeling it overtake
All that I used to hate
One by one, every trait
I tried, but it's way too late
All the signs I don't read
Two sides of me can't agree
Will I be in too deep
Going with what I always longed for?

Feel like a brand-new person (but you'll make the same old mistakes)
Well, I don't care, I'm in love (stop before it's too late, I know)
Feel like a brand-new person (but you'll make the same old mistakes)
I finally know what it's like (you don't have what it takes)
(Stop before it's too late, I know there's too much at stake)
(Making the same mistakes) and I still don't know why it's happening
(Stop while it's not too late) and I still don't know

Finally taking flight
I know you don't think it's right
I know that you think it's fake
Maybe fake's what I like
The point is, I have the right
Not thinking in black and white
Thinking it's worth the fight
Soon I'll be out of sight
Knowing it all this time
Going with what I always longed for

Feel like a brand-new person (but you'll make the same old mistakes)
Well, I don't care, I'm in love (stop before it's too late)
Feel like a brand-new person (but you'll make the same old mistakes)
So how do I know I've gone too far? (You don't have what it takes)
(Stop before it's too late)

Man, I know that it's hard to digest
But maybe your story ain't so different from the rest
And I know it seems wrong to accept
But you've got your demons and she's got her regrets

Man, I know that it's hard to digest
A realization is as good as a guess
And I know it seems wrong to accept
But you've got your demons and she's got her regrets
But you've got your demons and she's got her regrets

Feel like a brand-new person
So how will I know that it's right?
In a new direction
So how will I know I've gone too far?

(Stop thinking that the only option was) feel like a brand-new person
I finally know what it's like
(Stop thinking that the only option was) in a new direction
So how will I know I've gone too far?
(Stop thinking that the only option was)

And I know it's hard to describe
(Stop thinking that the only option was)
So how will I know that it's right?",0.04744166508316994,0.09493652731180191,0.35998329520225525,0.3015744686126709,0.11685168743133545,0.0602266825735569,0.018985658884048462,8,1,151.84,0.81,0.49
Tame Impala,Feels Like We Only Go Backwards,"It feels like I only go backwards, baby
Every part of me says: Go ahead
I got my hopes up again (oh, no), not again
Feels like we only go backwards, darling

I know that you think you sound silly when you call my name
But I hear it inside my head all day
When I realise I'm just holding on to the hope that maybe
Your feelings don't show

It feels like I only go backwards, baby
Every part of me says: Go ahead
I got my hopes up again (oh, no), not again
Feels like we only go backwards, darling

The seed of all this indecision isn't me, oh, no
'Cause I decided long ago
But that's the way it seems to go when trying so hard to get to something real
It feels

It feels like I only go backwards, darling
Every part of me says: Go ahead
I got my hopes up again (oh, no), not again
Feels like we only go backwards, darling

It feels like I only go backwards, baby
Every part of me says: Go ahead
I got my hopes up again (oh, no), not again
Feels like we only go backwards, darling

It feels like I only go backwards, baby
Every part of me says: Go ahead
I got my hopes up again (oh, no), not again
Feels like we only go backwards, darling",0.03867043927311897,0.06369194388389587,0.11881314963102341,0.4069804549217224,0.3002760410308838,0.04461173713207245,0.0269562266767025,2,0,149.51,0.9,0.49
Tame Impala,Let It Happen,"It's always around me, all this noise
But not nearly as loud as the voice saying
Let it happen, let it happen (it's gonna feel so good)
Just let it happen, let it happen

All this running around
Trying to cover my shadow
A notion growing inside
Now all the others seem shallow
All this running around
Bearing down on my shoulders
I can hear an alarm
Must be morning

I heard about a whirlwind that's coming 'round
It's gonna carry off all that isn't bound and
When it happens, when it happens (I won't be holding on)
So let it happen, let it happen

All this running around
I can't fight it much longer
Something's trying to get out
And it's never been closer
If my take-off fails
Make up some other story
But if I never come back
Tell my mother I'm sorry

I cuh-nuh duh-wuh, you wuh-nuh scri-wih
Try-guh-duh do-wee, try to pun-stoo-wee
You wuh-nuh thinkin' that I wuh-luh do-wee
They be lovin' someone and I wuh-nuh stuh-wee
Take the next ticket to take the next train
Why would I do-wee, eh you wuh tun-tun na

I cuh-nuh duh-wuh, you wuh-nuh scri-wih
Try-guh-duh do-wee, try to pun-stoo-wee
You wuh-nuh thinkin' that I wuh-nuh do-wee
They be lovin' someone and I wuh-luh stuh-wee (baby, now I'm ready, moving on)
Take the next ticket to take the next train (oh, but maybe I was ready all along)
Why would I do-wee, eh you wuh tun-tun na (oh, I'm ready for the moment and the sound)

I cuh-nuh duh-wuh, you wuh-nuh scri-wih (oh, but maybe I was ready all along)
Try-guh-duh do-wee, try to pun-stoo-wee (oh, baby, now I'm ready, moving on)
You wuh-nuh thinkin' that I wuh-luh do-wee (oh, but maybe I was ready all along)
They be lovin' someone and I wuh-nuh stuh-wee (oh, I'm ready for the moment and the sound)
Take the next ticket to take the next train (oh, but maybe I was ready all along)
(Oh, baby)",0.016440510749816895,0.023518318310379982,0.04906611144542694,0.048761360347270966,0.8484010696411133,0.008629732765257359,0.005182969383895397,1,0,125.01,0.88,0.58
Tame Impala,Eventually,"If only there could be another way to do this
'Cause it feels like murder to put your heart through this
I know I always said that I could never hurt you
Well, this is the very, very last time I'm ever going to, ah

But I know that I'll be happier
And I know you will too
Said I know that I'll be happier
And I know you will too
Eventually
Ah-ah-ah-ah-ah
Eventually
Ah-ah-ah-ah-ah

Wish I could turn you back into a stranger
'Cause if I was never in your life, you wouldn't have to change it, ah

But I know that I'll be happier
And I know you will too
I said, I know that I'll be happier
And I know you will too
Eventually
Ah-ah-ah-ah-ah
Eventually
Ah-ah-ah-ah-ah

And I know just what I've got to do
And it's got to be soon
'Cause I know that I'll be happier
And I know you will too
Eventually
Ah-ah-ah-ah-ah
Eventually
Ah-ah-ah-ah-ah
Eventually
Ah-ah-ah-ah-ah
Eventually
Ooh-ah-ah
Eventually
Ah-ah-ah-ah-ah
Eventually
Ah-ah-ah-ah-ah
Eventually
Eventually",0.009707216173410416,0.017994489520788193,0.700190544128418,0.13139711320400238,0.0872330293059349,0.024471869692206383,0.029005754739046097,9,0,77.94,0.62,0.16
Tame Impala,Nangs,"But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?
But is there something more than that?",0.14661310613155365,0.06270632147789001,0.018600592389702797,0.536117434501648,0.06679239124059677,0.16577443480491638,0.003395684761926532,0,1,167.61,0.53,0.43
Tame Impala,Elephant,"Bet he feels like an elephant
Shaking his big grey trunk for the hell of it
You know that youre dreaming about being loved by him
Too bad your chances are slim

And it's not like Mr. Shock
To get shy when I ask who is on top?
There must be something deep down in the middle of down there
He's not too easily scared

He's got friends but you get the feeling
Wouldn't care too much if he just disappeared
Oh, look there he is now coming down the stairs
(Here he comes)

He pulled the mirrors off his Cadillac (yeah)
Cause he doesn't like it looking like he looks back
He talks like his opinion is a simple fact
Somebody grabbed his collar
He cried the whole way home
He won't remember a thing 'til it started again
That's how it is 'til the end (yeah)",0.02204282023012638,0.005100219510495663,0.005833686329424381,0.02844914235174656,0.9299681782722473,0.005859829019755125,0.002746111247688532,9,0,123.08,0.55,0.53
