artist,song,lyrics,fear,surprise,neutral,anger,sadness,joy,disgust,key,mode,tempo,energy,valence
Kase.O,MAZAS Y CATAPULTAS,"Nena tú eres un desliz, una locura, un error
Una trampa de amor, una aventura
Yo no sé si es tu nariz, o tu cintura
Me tienes bajo shock con tu lenta tortura
Mala para la salud, tanta turbulencia

Yo que ya me había acostumbrado a la soledad
Y ahora llegas tú con tu dulce impertinencia
Tu loca extravagancia y tu fragancia, fresca novedad
No, no, no quiero saber de ti
No, no, no quiero salir de mí

Cuando te dije que tenía el corazón de piedra
Yo no sabía que tenías tú tanta fuerza

Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas

Eso que me das, me mata despacito
Solo un poco más como un yonki me repito
Se por dónde vas, hoy iré a tu garito
Voy a provocar un encuentro fortuito

Ya sé que te dije que en mi vida el amor
Tiene un monumento que es de puro cemento
Ahora llegas tú y despiertas esa flor
Con besos que me rompen por dentro
Mira, es tu inocencia lo que quiero salvar

Creo que eso mismo es lo que me atrapa
Una voz me dice: Déjate llevar
Otra voz me dice: ¡Mientras puedas, escapa!
No, no, no quiero saber de ti
No, no, no quiero salir de mí

Cuando te dije que tenía el corazón cerrado
Yo no sabía que tenías tú un arsenal guardado
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas
Mazas y catapultas

Nena tú eres un desliz, una locura, un error
Una trampa de amor, una aventura
Yo no sé si es tu nariz, o tu cintura
Me tienes bajo shock con tu lenta tortura

Mala para la salud, tanta turbulencia
Yo que ya me había acostumbrado a la soledad
Y ahora llegas tú con tu dulce impertinencia
Tu loca extravagancia y tu fragancia, fresca novedad",0.7382736206054688,0.1152222603559494,0.08080743998289108,0.035064663738012314,0.013058068230748177,0.010492462664842606,0.007081490475684404,5,0,148.03,0.55,0.89
Kase.O,YEMEN,"Me da pánico mi propio ego
Ciego de mí mismo llego
Hasta el mismísimo Olimpo
Y le pego fuego al puto monte
Hogar de ridículos dioses
Mi nombre se eleva entre humo y cenizas
Reluce en el horizonte
Las manos arriba y nadie se mueve
Es un Mc gastando saliva, normal que me deshueve
Normal que cuando llegue el jeque se desmelenen
Incluso travestidos e hipócritas
Me odian pero me temen
Cuando sucede mi semen
Del ritmo brotan plantas exóticas
Y dos aves nórdicas deciden que anidan
En este vergel, edén que emerge del Yemen

¿Tienes sed de mis crónicas? Pues bebe de este té
De palabras aromáticas que recolecté
Si mi cuaderno fuera un postre sería un hojaldre
De higos, nueces y miel, una crepé de hiel para ti, infiel
Me negaste tres veces como Pedro a Jesús
Ahora vuelves al maestro y aunque no me mereces
Me arrodillo y te lavo los pies
Te ofrezco pan con aceite
Todo para tu dolorosonoro deleite, co

Te duele, te, te, te duele
Te duele pero, te, te duele tan bien
Te duele, te, te, te duele
Te duele pero, te, te duele tan bien

¿Qué tal unas cometas de frambuesa?

Y tú dijiste: ""Sí, pero en vez de hilo, regaliz""
Yo soy el nuevo Willy Wonka
Venid niños a mí, mas con mi estilo no busquéis bronca
Yo soy el sol que alumbra calles cuando el cielo es gris
Yo leo el futuro de Mcs en la espuma de mi pis
Fin de la mediocridad, vuelve el loco astrónomo
Alquimista soy yo, transformo el plomo en oro
Como un sangriento cascabel, a media noche
Me despierta un pensamiento del que salen miles
Y de estos miles quedan cien, diez, dos
Un solo verso gana esta lucha atroz
Mis visiones llenaron expedientes en la NASA
Científicos chinos se plantaron en mi casa
Preguntan por el domador de OVNIs
- ""¿Cómo lo haces?""

Mediante astrolenguaje, ese es mi extraño bagaje
¿No te pasa que al oír la mierda auténtica
Sientes lo tuyo artificial, y simple métrica?
Dudaste de mis fuerzas y te llevaste un buen zas
¿Qué tal te ves comiendo mierda?
Mientras sueltas esas rimas flojas, ¿de qué te quejas?
¿Te has parado a revisar tus hojas? ¿Lo que reflejas?
Lo que pienso yo es que estás perdido, estás jodido
No has medido en que te has metido en tremendo lío
Esto del rap, co, mejor escucha a Kase.O
Con Lírico y con Hate hace tremendo trío
En Zaragoza no hace fresco, hace más bien frío
Como la poza de un río en estío mi estilo es tío

Aspiro al papado, os pido pues que me llaméis Pío
¿Pero qué cojones digo? Si yo con brío
Me cago en ese puto obispo de Lucifer siervo sombrío
¡Hijo de puta, ya podrás con críos!
Desvaríos varios, no escatimo escarnios
¿Con qué derecho hablan de Dios estos demonios?
También hay curas buenos, también hay seres plenos
Los menos gozan de poca promo, ascetas
En este planeta de memos
Soy poeta y viajo más que tus astronautas
Soy poeta y yo jamás respeté tus pautas
¿Cuántas noches me pasé yo delante del papel
Diseñando llaves para tus jaulas?
Y si el placer fuera solo ausencia de dolor
Y si el dolor se borrará como las manchas

Si hubiera tintes para el corazón
No habría una razón por la que rimar hasta las tantas

Te duele, te, te, te duele
Te duele pero, te, te duele tan bien

Te duele, te, te, te duele
Te duele pero, te, te duele tan bien

Te duele, te, te, te duele
Te duele pero, te, te duele tan bien

Me duele, me, me, me duele
Me duele pero, me, me duele tan bien",0.07568030804395676,0.06910981237888336,0.6744334697723389,0.05427946895360947,0.018017783761024475,0.020236268639564514,0.08824295550584793,11,0,82.84,0.54,0.92
Kase.O,Repartiendo Arte,"Repartiendo arte, porque esa es mi cualidad
Te llevo de lo cotidiano a otra realidad
Al estado de la incierta forma
Territorio en el que habito cuando todos duermen
Puedes verme

Repartiendo arte, porque esa es mi cualidad
Te llevo de lo cotidiano a otra realidad
Al estado de la incierta forma
Territorio en el que habito cuando todos duermen

Pasaporte con mi nombre rumbo al infinito
Hay mucho mito, pero nadie ha vuelto y lo ha descrito
Ese es mi reto. Estoy saliendo ya de mi esqueleto
Dejando ya obsoleto el ámbito de lo concreto, no me limito
Traigo el tacto de lo abstracto, nada exacto
Un extracto de lo perfecto, nada recto
Un instante rutilante, muy brillante
De la música de un gigante Arquitecto
Pilla esta foto en la que: Floto, exploto
Dejo este universo roto y choco con otro
De hecho yo formo otro que fundo con otro
Que junto con otros que sumo: Resulto muchos nosotros
El punto de expansión total, el origen
Del que todos los caminos salen y al que se dirigen
Donde todos los posibles sucesos suceden
Donde dicen que cocinan sus besos las mujeres
Por si acaso me perdiera he tendido un hilo
Que me sujeta a la tierra para viajar tranquilo
Desde el último balcón del tiempo me asomaré
Si tú quieres recorrerlo dilo, yo allí estaré

Repartiendo arte, porque esa es mi cualidad
Te llevo de lo cotidiano a otra realidad
Al estado de la incierta forma
Territorio en el que habito cuando todos duermen
Puedes verme

Repartiendo arte, porque esa es mi cualidad
Te llevo de lo cotidiano a otra realidad
Al estado de la incierta forma
Territorio en el que habito cuando todos duermen

Ya regreso a la región de la que todo emana
Solo un ser es la Legión de la que formo parte
Quiero hablarte de esa delgada membrana
Esa ventana traspasada por la raza humana, solo en el arte
Puerta de todos los datos matemáticos
Paraíso de insensatos catedráticos
Forma que forma las formas de lo físico
Norma que anula las normas de lo rígido
Residencia de la esencia de la esencia
Evidencia de existencias simultáneas
Es un cúmulo de extrañas coincidencias
De infinitas incidencias espontáneas
Percepción de la perfección
De la percepción de la perfección
Estoy buscando en lo poético
Que hay en lo supra-estético
Que hay en lo macro-cromático
Que hay en lo no animal
Estoy ahí dentro, me veo desde fuera
Justo en el centro de una gran esfera
Que está justo en el centro de una gran esfera
Que está justo en el centro
Espera, porque se me llevan
Números que se aceleran hasta la eternidad
Pero el negativo, esta marea me lleva hacia atrás
Salto al estribillo y allí el futuro cambiaré
Tú si quieres recorrerlo dilo, yo allí estaré

Repartiendo arte, porque esa es mi cualidad
Te llevo de lo cotidiano a otra realidad
Al estado de la incierta forma
Territorio en el que habito cuando todos duermen
Puedes verme

Repartiendo arte, porque esa es mi cualidad
Te llevo de lo efímero hasta la eternidad
Al estado donde todos duermen
Territorio en el que habito con incierta forma
Puedes verme

(What does it all mean?)
What does it all mean!?
(What does it all mean?)
(What does it all mean?)
Creo que por un accidente se me ha roto el hilo y ya no puedo volver
Me quedo aquí para siempre
(Cuánto dura un siempre?)

No lo sé, pero, créeme por un accidente, se me ha roto el hilo
Y ya no puedo volver, me quedo aquí para siempre
(Cuándo acaba un siempre?)",0.13250119984149933,0.033550553023815155,0.5961121916770935,0.10090261697769165,0.03732171654701233,0.03716231510043144,0.062449418008327484,6,0,87.97,0.54,0.7
Kase.O,Pavos reales,"Tú no tienes nada que hacer
Ha venido el asesino fino que te mata de placer
Abre paso, llega Kase.O
Decir mi propio nombre me produce vértigo

¡Oh ooh! Recupérate del susto
Y dame los honores de César Augusto
Sueno bien entre los jefes, hago lo que quiero
Me siento en este ritmo como un jeque petrolero

Vine haciendo surf en un rayo de luz, ups
Lo siento, ni con zoom puedes ver al gurú, surcando el cielo
Así es como se hace una canción
Pregúntanos si quieres aprender, te damos una lección

Chico, si eres listo no me intentes joder
Hasta ahora solo has visto un poco de mi poder
Así que no quieras saber con quién estoy relacionado
Dame mi respect, a mí y a mi conglomerado

Oh, cuando Javi llega al puto microphone
Corre la voz y toda la gente se acerca
Al super-estilo suave como el algodón
Prepara tus oídos para la fiesta

Shabu te hace levitar con su voz angelical
Kase.O tiene el flow más cabrón
Y el del ritmo tropical es McKlopedia
Este que se se viene ¡Es el Ele! ¡Dale man!

Esto suena en sus cabezas, solo sueñan con grandeza
Sigilosamente entra y destruye su fortaleza
Simple y minimalista es esta pista
Para mí otra conquista

Suelen meterme en la lista
El hombre orquesta, el gran liricista
Lo pillo y me lo empollo, me los follo si no hay fuelle
Te agarro por el cuello como a pareja de bueyes

Comencé muy pronto, cuando en Madrid ya firmaba el Muelle
Ya de pequeño tenía el campeón son un fly, un flow de reyes
Puede que te desmayen, puede que te desmelenen
Puede que te entre de repente dolor en las sienes

Pero en lo que es seguro es que cuando llego y me subo
solo llegas a mi suela y eso en el fondo te duele
Oros en vela, los que hieren me la pelan

Se les ve venir de lejos, muchos son unos parguela
Todos quieren su parcela, todos quieren su chalet
Quieren joder con nosotros pero no tienen caché

Shabu, ¡hazte un cacho guapo, co!

Hoy me llama Ibarra pa' escupir unas barras
Yo como hago 8 porque sois unas guarras
Yo y mis pepinos, tú y tu huerto ¿Quién barras?
Con marranas, así el sembrao no agarra

Dices que los números en vídeos te abalan
Miles de millones tienen gatos que cagan
Crees que eres un máquina si un par de chavalas
Te alaban y con tu miembro te empalas

Los otros ensayan, nosotros en Zion
Mi conglomerao' no falla
Y somos like iron, sí, como el hierro
Pues antes que doblarnos nos partimos en dos

Anoche soñé que yo era un cocodrilo
Bajaba con sigilo por el cauce del Nilo
Entonces el faraón se arrimó muy al filo
Al puto Akenatón me lo comí con estilo
Nosotros por cielo y tierra, vosotros en el limbo
Nosotros el pan de leña, vosotros el pan Bimbo
Vosotros bailáis bingo, nosotros más como rimbo
Malditos del Hip Hop, solo rimas y ritmos

Soy Tetsuo cuando agarro mic's
Más embrujo que el de Panoramix
Melodies and Tricks como Punchin' Kids
Mi flujo de Lujo como Kung-Fu Fist
Hago un nudo en Larynx, mi combo de Lyrics
Esto es Swag Metaphysics
Na' más que haciendo Aerobic se los mando a Twin Peaks

Materializo en ipso facto aquello que yo creo y pienso
Futuro oscuro le auguro a los que quieran ser adversos
Advierto desde lo lejos, su complejo, su tropiezo

Pienso que en vez de los sesos, lo que tienen es un queso
Tanto que hablas, te llenas la boca pa' hacer eso
Tanta mierda, van cayendo por su propio peso
Quién son los que mantienen el progreso
Ninguno que quiera va a salir ileso
Te asome del peso pa' dejarte tieso

En este proceso peso por mi paso
Masoquista, quítate o llevas coñazo
Liricistas, quedan pocos, son escasos
Oportunistas, que van camino al fracaso
De los egoístas recogen los pedazos

No hay tiempo, descanso ni plazo
Me desplazo que te alcanzo y te paso
Caso, raperos quemao's por el falso
Los amordazo llevando el mazo

Gloria al bravo pueblo que el yugo lanzó, quién como yo
Junto a Kase.O, asesino del micrófono
Váyase con Dios, el que no vio no preguntó
Aquí a cada ladrón se juzga por su condición
Todo aquel la ventana cerró cuando apareció

McKlopedia, con el señor Javat, Kase.O
Es sublime la escena del crimen, gimen del dolor
Máximo respeto a este conglomerado, por favor
Todo aquel la ventana cerró cuando apareció

McKlopedia, con el señor Javat, Kase.O
Es sublime la escena del crimen, gimen del dolor
Máximo respeto a este conglomerado, por favor",0.10471822321414948,0.1964983344078064,0.3653748333454132,0.11976679414510727,0.0515243224799633,0.12990187108516693,0.03221564739942551,11,0,82.94,0.52,0.88
Kase.O,Tiranosaurius Rex,"Tiranosaurius Rex
Piso el ritmo y te dan tembleques
Retumban todos los tabiques
¿Quieres volar? Pues vuela, no te compliques
Yo no soy tu ex, eres libre
Como un recién nacido en Fontibre
Haz que tú haz vibre, en paz vive
En paz sigue, ¿qué tal, pibe?
Hago que tu pirámide se active
Luz que no ves porque tú la irradias
Formas de amor escoge, aún hay varias
Apuesta a esto y nunca fallas
Van a morir los que no y los que fuman Farias
Igual los que consuman rayas
¿Hay ataúdes para todos? Sí, aún hay tallas
No quieras ser bueno en muchas áreas
Solo estrictamente necesarias

Hállalas, busca
Una pasión que te seduzca, etrusca o turca
Haz que reluzca tu aura
Es la hora ya de que fluyas como el agua y estar guay
Si quieres ser feliz como me diz
No analiz ni sigas directriz
Yo sé que quieres despertar y sé que vales
Que tienes algo dentro que aún no sale

Conozco ese dolor que dices
No hemos cerrado bien las cicatrices, ¿eh?
Será mejor que te organices
Antes de que se te coman las lombrices

Conozco ese dolor que dices
No hemos cerrado bien las cicatrices, ¿eh?
Será mejor que te organices
Antes de que se te coman las lombrices

Reflexiona
Pon atención a lo que te tensiona
Pide perdón, perdona, sé una mejor persona
Vive con calma
Sigue sintiendo que el amor es tu arma
Reinicia
Pídele a la vida una caricia
No digas que no a una delicia
Saborea todo lo que te rodea
Y cuando veas esa idea que boicotea, revolotea
Esquívala
Vete pa'rriba ya en pensamientos altos como las águilas
Ten piedad de ti y de todo ser vivo
Es para amar para lo que servimos
Siente el amor, siente que existe
Siente que existes, siente que sientes como nunca sentiste
Siente que te sientes como nunca te sentiste
Tienes que dejar ir
Dejar de ir de mártir, repartir tu arte
Compartir tu parte de pastel, no es fácil
Pero al fin vendrá a ti el jardín que soñaste
Si quieres ser feliz como me dices
No analices ni sigas directrices
Sé que podemos improvisar como los animales
Yo sé que vales, que tienes algo dentro que aún no sale

Conozco ese dolor que dices
No hemos cerrado bien las cicatrices, ¿eh?
Será mejor que te organices
Antes de que se te coman las lombrices

Conozco ese dolor que dices
No hemos cerrado bien las cicatrices, ¿eh?
Será mejor que te organices
Antes de que se te coman las lombrices

(Let's do it)

Te pierdes lo bueno buscando el error
Te pierdes lo mejor
Te pierdes lo bueno buscando el error
Te pierdes lo mejor

Te pierdes lo bueno buscando el error
Te pierdes lo mejor
Te pierdes lo bueno buscando el error
Te pierdes lo mejor

Te pierdes lo bueno buscando el error
Te pierdes lo mejor
Te pierdes lo bueno buscando el error
Te pierdes lo mejor",0.16196610033512115,0.05341628938913345,0.5418030619621277,0.10310359299182892,0.023321472108364105,0.013930910266935825,0.10245854407548904,5,0,111.94,0.76,0.58
Kase.O,Esto No Para,"Una vuelta más del planeta bajo el sol
Dios está llamando a su puesto de control
Un poco más abajo el pequeño Lucifer
Seduce a los humanos vestido de mujer
La llaman Libertad, otros democracia
Vestida de Justicia, oculta su falacia
Tiene convencida a toda la población
Mensajera de la paz a la que llaman religión
Pero ella quiere guerra, celebra cada muerte
Matan en su nombre y tienen nombres diferentes
Siempre disfrazada, porque es inteligente
Tiene todos los medios, ella elige al presidente
Fieles sirvientes le llevan de comer
Sufrimiento humano a cambio de poder
A todos los niveles se ven sus artes crueles
Maltratan animales, niños y mujeres

Suena M 16, AK-47
Suena 22, suena MAC-11
Suena Antipersona, suena Carro Bomba
Suena Chin-Chin, brindan en la sombra
Estas entidades rigen el planeta
Sufrimiento humano es lo que les alimenta
Muertes por la guerra, muertes por la droga
Todos son ofrendas a la misma señora

Macho, esto no para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie lo para
Y si nadie lo para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie se para
Y si nadie se para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie lo para

Y si nadie lo para, nadie dice nada
Prepárate para la que se prepara

Nadie dice nada, todo está amañado
Otro ladrón sale riendo del juzgado
Son todos amigos, chupan del estado
Nadie los controla son crimen organizado
Viajan con millones, campan a sus anchas
Hacen la ley a la medida de su trampa
Políticos cléptomanos rigen los países
Pueblo cocaínomano no mete las narices
Pueblo traicionado, sordo por el ruido
Pueblo desquiciado porque no hay un objetivo
No hay buenos ejemplos, reina la ignorancia
Caldo de cultivo para la intolerancia
Pueblo silenciado, pueblo sentenciado
Para los indignados tienen perros preparados
Si manifestarse es un peligro y expresarse es un delito

¿Qué ley? ¿Qué juez nos protege de los políticos?
¿Es la ley para el hijo del juez?
¿O es la ley para el hijo del rey?
Huele a cloaca, mundos paralelos
Lavan tu cerebro mientras lavan su dinero
Más todo cambiará de forma brusca
Si dos o más personas se juntan por una causa justa
Corto y devuelvo la conexión, que alguien traiga una solución

Esto no para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie lo para
Y si nadie lo para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie se para

Y si nadie se para (don't stop)
Esto no para (don't stop)
Esto no para, porque nadie lo para
Y si nadie lo para, nadie dice nada
Prepárate para que se prepara (don't stop)

Si tienes frío, muévete
Si estás cansado de esperar, muévete (don't stop)
Si tienes frío, muévete
Si estás cansado de esperar, muévete (don't stop)
Si tienes frío, muévete
Si estás cansado de esperar, muévete (don't stop)
Si tienes frío, muévete
Si estás cansado de esperar, muévete (don't stop)

Muévete
Muévete
Muévete
Muévete
Muévete",0.1958409994840622,0.015999648720026016,0.44317471981048584,0.16954419016838074,0.06282270699739456,0.0227584857493639,0.0898592546582222,1,1,185.78,0.92,0.65
Kase.O,TRISTE,"Me tuerzo, me inclino, me caigo, me hundo
Se derrumba mi mundo sin rumbo
No es fijo ese donde al que yo me dirijo
Y a cada segundo confundo
Llegan lágrimas aquí de lo profundo
Tengo dudas que duelen si pregunto
Tengo miedos que atormentan lentamente
A los sueños de mi corazón vagabundo
De lo que no se llevó el viento
De lo que quedó tras el tiempo
Me quedo con el aroma de las rosas
Porque hay cosas de las que me arrepiento
Tengo que volver a aprender a pensar
Tengo que volver a aprender a olvidar
Tengo que volver a aprender a vivir
Tengo que vivir y volver a aprender a amar

A mi marcha. Animar al Ibarra
Limpiarle la cara de escarcha
Descorchar. Soportar la avalancha
Borrar todo rastro de mancha
No hay orden. No por aquí cerca
Conozco el percal: la vida terca y perra
Guerra mental. Des-pier-ta-te-ya
Vivo sin vivir en mí
Sigo sin poder sentir
No sé lo que tengo que hacer
Daría lo mismo si volviera a nacer
No sé. Quizás quisiera no ser
Lo que querría es dejar de toser
Más que existir, subsisto
Más que embestir, resisto. ¡Joder!
No amo, ni siento, ni padezco
No veo que crezca. Creo que envejezco
Lento de reflejos

Lejos del mejor beso que probé, estoy
Tengo mi alma en la sombra esperando una luz
Quiero bajar de la cruz
Siento que pierdo la juventud
Rezo en la noche por mi salud

Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí
Triste. Solo tengo ojos para mí",0.27644219994544983,0.05026964470744133,0.2725822925567627,0.17778868973255157,0.04906833916902542,0.05837821587920189,0.11547058075666428,5,0,140.04,0.36,0.77
