artist,song,lyrics,fear,sadness,neutral,anger,surprise,joy,disgust,key,mode,tempo,energy,valence
alt-J,Breezeblocks,"She may contain
The urge to run away
But hold her down with soggy clothes and breezeblocks
Cetirizine your fever's gripped me again
Never kisses
All you ever send are full-stops

Do you know
Where the wilds things go
They go along to take your honey

Break down now weep build up breakfast now let's eat
My love, my love, love, love

Muscle to muscle and toe to toe
The fear has gripped me but here I go
My heart sinks as I jump up
Your hand grips hand as my eyes shut

Do you know
Where the wild things go
They go along to take your honey
Break down lets sleep
Build up breakfast now let's eat
My love, my love, love, love

She bruises coughs
She splutters pistol shots
But hold her down with soggy clothes and breezeblocks
She's morphine
Queen of my vaccine
My love, my love, love, love

Muscle to muscle
And toe to toe
The fear has gripped me
But here I go
My heart sinks as I jump up
Your hand grips hand as my eyes shut

She may contain
The urge to run away
But hold her down with soggy clothes and breezeblocks
Germolene disinfect the scene
My love, my love, love, love

But please don't go
I love you so
My lovely

Please don't go
Please don't go
I love you so
I love you so

Please don't go
Please don't go
I love you so
I love you so (please break my heart)

Please don't go
Please don't go
I love you so
I love you so

Please don't go
Please don't go
I love you so
I love you so (please break my heart)

Please don't go
I'll eat you whole
I love you so
I love you so, I love you so",0.9594999551773071,0.024527326226234436,0.006255973130464554,0.004634032025933266,0.0023639907594770193,0.0017632544040679932,0.0009553029667586088,5,1,150.09,0.66,0.29
alt-J,Left Hand Free,"Hey shady baby I'm hot
Like the prodigal son
Pick a battle eenie meenie miney moe
Hey flower you're the chosen one

Well your left hand's free
And your right's in a grip
With another left hand
Watch his right hand slip
Towards his gun, oh no

I tackle weeds just so the moon buggers nibble
A right hand grip on his Colt single-action like [?]

Well your left hand's free

And your right's in a grip
With another left hand
Watch his right hand slip
Towards his gun, oh no

N-E-O, O-M-G, gee whiz
Girl you're the one for me
Though your man's bigger than I am
All my days he disagrees, oh no
(Speak easy)

Well my left hand's free
Well my left hand's free

Hey shady baby I'm hot
Like the prodigal son
Pick a battle eenie meenie miney moe
Hey flower you're the chosen one

Well your left hand's free
Well my left hand's free (x4)
Oh no",0.11431927978992462,0.07180128991603851,0.39121711254119873,0.11951129883527756,0.1561514288187027,0.02982262149453163,0.117176853120327,3,1,101.99,0.88,0.8
alt-J,Tessellate,"Bite chunks out of me
You're a shark and I'm swimming
My heart still thumps as I bleed
And all your friends come sniffing

Triangles are my favourite shape
Three points where two lines meet
Toe to toe, back to back, let's go
My love it's very late
'Til morning comes, let's tessellate

Go alone my flower
And keep my whole lovely you
Wild green stones alone my lover
And keep us on my heart

Three guns and one goes off
One's empty, one's not quick enough
One burn, one red, one grin
Search the graves while the camera spins
Chunks of you will sink down to the seals
Blubber rich in mourning
They'll nosh you up, yes, they'll nosh the love away, but it's fair to say
You will still haunt me

Triangles are my favourite shape
Three points where two lines meet
Toe to toe, back to back, let's go
My love it's very late
'Til morning comes, let's tessellate",0.8284165263175964,0.09038955718278885,0.03191117197275162,0.020004477351903915,0.0071342214941978455,0.0022342982701957226,0.01990971714258194,2,1,116.97,0.61,0.44
alt-J,Something Good,"Something good, oh something good, oh something good,
Oh something good tonight will make me forget about you for now

Get high, hit the floor before you go
Matador, estocada, you're my blood sport

But something good, oh something good, oh something good
Oh something good tonight will make me forget about you for now

Forty-eight thousand seats bleats
And roars for my memories of you
Now that I'm fully clean

The matador is no more and is dragged from view

Get high, hit the floor before you go
Matador, estocada, you're my blood sport

Forty-eight thousand seats bleats
And roars for my memories of you
Now that I am clean
The matador is no more and is dragged from view

But something good, oh something good, oh something good
Oh something good tonight will make me forget about you for now",0.14017947018146515,0.18371134996414185,0.3712979555130005,0.13397622108459473,0.03477900102734566,0.034325726330280304,0.10173030197620392,7,1,108.98,0.58,0.54
alt-J,Fitzpleasure,"Tra-la-la, tra-la, tra-a-la
La, tra-la-la, tra-la, tra-a-la
La, tra-la-la, tra-la, tra-a-la
La, tra-la-la, tra-la

In your snatch fits pleasure, broom-shaped pleasure
Deep greedy and googling every corner
La, tra-la, tra-a-la, la-la-la-la-la-la-la

Dead in the middle
Of the C-O double-M O-N
Little did I know then
That the Mandela Boys soon become Mandela Men

Tall woman

Pull the pylons down
And wrap them around the necks
Of all the feckless men that queue to be the next

Steepled fingers
Ring la-la-la-la-la-la-la-la-leaders
Queue-queue
Jumpers to rock
Fist, paper, scissors, la-la-la-la-la-la-lingered fluffers
The choir in your hoof lies the heartland
Where we tent for our treasure, pleasure, leisure
Les yeux, it’s all in your eyes

In your snatch fits pleasure, a broom-shaped pleasure
Deep greedy and googling every corner

Tralala, trala, tra-la, la-la-la-la-la-la-la
Oh, oh, oh, oh, blinded by the lights",0.03531348705291748,0.00866666343063116,0.03162292018532753,0.8696104884147644,0.006896114908158779,0.002283190842717886,0.0456070639193058,9,1,143.94,0.59,0.36
alt-J,Matilda,"This is from
This is from
This is from Matilda

Just like Johnny Flynn said, ""The breath I've taken and the one I must"" to go on
Put the grenade pin in your hand, so you understand who's boss
My defeat sleeps top to toe with her success

Oh this is from
This is from
This is from Matilda

And she needs you
This is for Matilda
And she needs you
This is for Matilda

Just like Johnny Flynn said, 'the breath I've taken and the one I must' to go on.
Put the grenade pin in your hand, so you understand who's boss.
My defeat sleeps top to toe with her success.

Oh this is from
This is from
This is from Matilda

And she needs you
This is for Matilda
And she needs you
This is for Matilda
And she needs you
This is for Matilda
Elle a besoin de toi, cela vient de Matilda

And she needs you
This is for Matilda
And she needs you
This is for Matilda
And she needs you
This is for Matilda
And she needs you
This is for Matilda

This is for Matilda
This is from Matilda
Matilda
Matilda
Matilda",0.03345504403114319,0.021663520485162735,0.8117740154266357,0.04158611595630646,0.05102314054965973,0.013566369190812111,0.026931732892990112,2,1,147.95,0.68,0.28
alt-J,Taro,"Indochina, Capa jumps jeep
Two feet creep up the road
To photo, to record
Meat lumps and war
They advance as does his chance
Oooh, oooh

Very yellow white flash
A violent wrench grips mass
Rips light, tears limbs like rags
Burst so high finally capa lands

Mine is a watery pit
Painless with immense distance
From medic, from colleague, friend
Enemy, foe, him five yards from his leg
From you Taro
Oooh, oooh

Do not spray into eyes
I have sprayed you into my eyes

3:10 Pm, Capa pends death
Quivers, last rattles, last chokes
All colours and cares glaze to grey
Shrivelled and stricken to dots
Left hand grasps
What the body grasps not
Ooh, oooh
Le photographe est mort

3.1415, Alive no longer my amour
Faded for home may of '54
Doors open like arms my love
Painless with a great closeness
To capa, to capa capa dark after nothing
Re-united with his leg and with you, Taro
Taro

Do not spray into eyes
I have sprayed you into my eyes",0.35530605912208557,0.46574366092681885,0.018955014646053314,0.13644711673259735,0.006728859152644873,0.0036480489652603865,0.013171237893402576,5,1,171.75,0.48,0.28
alt-J,Every Other Freckle,"I want to share your mouthful
I want to do all the things your lungs do so well
I'm gonna bed into you like a cat beds into a bean bag
Turn you inside out to lick you like a crisp packet

You're the first and last of your kind
(Pull me like an animal out of a hole!)
I want to be every lever you pull
And all showers that shower you

I'm gonna paw, paw at you
Like a cat paws at my woolen jumper
Be your Minpin
And Borrower of handsome trivia

Devour me
Lou, Lou, let the cover girls sing!

All handclaps, you will clap
(Let me be the wallpaper that papers up your room!)
I want to be every button you press
And all the baths that surround you
Yes, I'm gonna roll around you
Like a cat rolls around saw dusted patios
I'm gonna kiss you
Like the sun browns you

Devour me
Devour me
If you really think that you can stomach me

I want every other freckle
I want every other freckle, freckle",0.057882700115442276,0.0456097237765789,0.3561633229255676,0.2375212460756302,0.07898528128862381,0.04891601577401161,0.17492176592350006,2,1,143.92,0.71,0.52
